accession	taxid	description	kingdom	phylum	class	domain	contig
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000127l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000128l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000129l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000130l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000132l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000133l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000134l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000135l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000136l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000137l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000138l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000139l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000140l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000141l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000142l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000143l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000144l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000146l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000147l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000148l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000149l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000150l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000151l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000152l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000153l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000154l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000155l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000156l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000157l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000158l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000159l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000160l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000161l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000162l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000163l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000164l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000165l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000166l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000167l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000168l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000169l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000170l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000171l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000172l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000173l
MN642622.1	2608996	Trebouxia sp. A1-2 mitochondrion, complete genome	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000174l
XM_009626984.3	4098	PREDICTED: Nicotiana tomentosiformis SNF1-related protein kinase catalytic subunit alpha KIN10-like (LOC104116177), transcript variant X2, mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000010l
XM_009626983.3	4098	PREDICTED: Nicotiana tomentosiformis SNF1-related protein kinase catalytic subunit alpha KIN10-like (LOC104116177), transcript variant X1, mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000010l
NM_001325500.1	4097	Nicotiana tabacum SNF1-related protein kinase catalytic subunit alpha KIN10-like (LOC107790535), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000010l
XM_016612469.1	4097	PREDICTED: Nicotiana tabacum SNF1-related protein kinase catalytic subunit alpha KIN10-like (LOC107790535), transcript variant X2, mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000010l
D26602.1	4097	Nicotiana tabacum mRNA for protein kinase NPK5, complete cds	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000010l
XM_011400906.1	3075	Auxenochlorella protothecoides Histone H3.1 partial mRNA	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000011l
LR812087.1	7955	Danio rerio genome assembly, chromosome: 25	Metazoa	Chordata	Actinopteri	Eukaryota	ptg000011l
XM_042705956.1	7950	PREDICTED: Clupea harengus histone H3 (LOC122131038), mRNA	Metazoa	Chordata	Actinopteri	Eukaryota	ptg000011l
LR812618.1	7955	Danio rerio genome assembly, chromosome: 25	Metazoa	Chordata	Actinopteri	Eukaryota	ptg000011l
XM_005843718.1	554065	Chlorella variabilis hypothetical protein (CHLNCDRAFT_59160) mRNA, complete cds	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000011l
XM_014044649.1	145388	Monoraphidium neglectum Histone H3 mRNA	Viridiplantae	Chlorophyta	Chlorophyceae	Eukaryota	ptg000011l
OX063314.1	7955	Danio rerio genome assembly, chromosome: 25	Metazoa	Chordata	Actinopteri	Eukaryota	ptg000011l
LR812062.1	7955	Danio rerio genome assembly, chromosome: 25	Metazoa	Chordata	Actinopteri	Eukaryota	ptg000011l
XM_002666905.5	7955	PREDICTED: Danio rerio si:ch73-36p18.2 (si:ch73-36p18.2), mRNA	Metazoa	Chordata	Actinopteri	Eukaryota	ptg000011l
X12855.1	3068	Volvox carteri beta-1 tubulin gene	Viridiplantae	Chlorophyta	Chlorophyceae	Eukaryota	ptg000012l
AB491618.1	63592	Tetraselmis chuii Btub gene for beta-tubulin, partial cds, strain: NIES-2432	Viridiplantae	Chlorophyta	Chlorodendrophyceae	Eukaryota	ptg000012l
KF573967.1	300845	Trebouxia decolorans clone contig_699 putative sulfite efflux pump/TDT transporter-like gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
MN563071.1	2654206	Trebouxia sp. MPN511 small subunit ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
LC487924.1	100272	Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence	NA	NA	NA	Eukaryota	ptg000013l
KP081352.1	1229085	Uncultured Trebouxia clone AEW6R_K315 18S ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
LC713024.1	1229085	Uncultured Trebouxia S17 gene for 18S rRNA, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
LC713023.1	1229085	Uncultured Trebouxia S16 gene for 18S rRNA, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
LC713022.1	1229085	Uncultured Trebouxia S15 gene for 18S rRNA, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
LC713021.1	1229085	Uncultured Trebouxia S14 gene for 18S rRNA, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
LC713020.1	1229085	Uncultured Trebouxia S13 gene for 18S rRNA, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000013l
MT439014.1	1825957	Trebouxia lynnae strain TR9 putative extracellular protein TR9_066 mRNA, partial cds	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000014l
XM_005643393.1	574566	Coccomyxa subellipsoidea C-169 heat shock protein 70 mRNA	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000014l
LR792825.1	1010633	Digitaria exilis annotation	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
LR761610.1	1010633	Digitaria exilis genome assembly, chromosome: 3B	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
XM_047191862.1	89674	PREDICTED: Lolium rigidum heat shock 70 kDa protein 1-like (LOC124652818), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
LR994609.1	1010633	Digitaria exilis genome assembly, chromosome: 3B	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
XM_044481739.1	4565	PREDICTED: Triticum aestivum heat shock 70 kDa protein 4-like (LOC123059094), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
XM_048714444.1	4572	PREDICTED: Triticum urartu heat shock cognate 70 kDa protein 2 (LOC125551273), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
XM_006664054.3	4533	PREDICTED: Oryza brachyantha heat shock cognate 70 kDa protein 2 (LOC102701680), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000014l
XM_039988558.1	38727	PREDICTED: Panicum virgatum polyubiquitin (LOC120704243), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
CP050798.1	4556	Setaria viridis cultivar ME034v chromosome 4	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
XM_006289454.2	81985	PREDICTED: Capsella rubella polyubiquitin (LOC17883012), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
XM_034735197.1	4556	PREDICTED: Setaria viridis polyubiquitin (LOC117852901), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
XM_012845363.3	4555	PREDICTED: Setaria italica polyubiquitin-like (LOC101775950), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
XM_017199304.2	30025	PREDICTED: Drosophila ficusphila polyubiquitin-C (LOC108097169), mRNA	Metazoa	Arthropoda	Insecta	Eukaryota	ptg000015l
OW176983.1	57926	Potentilla anserina genome assembly, chromosome: 3	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
LR999456.1	38785	Arabidopsis arenosa genome assembly, chromosome: 6	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000015l
XM_017242862.2	42026	PREDICTED: Drosophila bipectinata Polyubiquitin-63E (Ubi-p63E), transcript variant X2, mRNA	Metazoa	Arthropoda	Insecta	Eukaryota	ptg000015l
MK422494.1	1825957	Trebouxia lynnae Mn superoxide dismutase variant MnSOD1 mRNA, complete cds	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000016l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000016l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000021l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000022l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000024l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000026l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000027l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000028l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000029l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000030l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000031l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000032l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000033l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000035l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000036l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000038l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000039l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000040l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000044l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000045l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000046l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000047l
EU123949.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 9 (nad9) and ribosomal protein S10 (rps10) genes, complete cds; tRNA-Leu (trnL(uag)) gene, complete sequence; ATP synthase F0 subunit 6 (atp6) gene, complete cds; tRNA-Gly (trnG(ucc)), tRNA-His (trnH(gug)), and tRNA-Glu (trnE(uuc)) genes, complete sequence; and ribosomal protein L5 (rpl5), ribosomal protein L10 (rpl10), and ribosomal protein S19 (rps19) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000049l
