,T. sp. A48,T. SL0000003,descriptions
IPR011603,2,2,2-oxoglutarate dehydrogenase E1 component
IPR031717,2,1,"Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal"
IPR042179,2,1,"Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily"
IPR032755,2,2,"Translin-associated factor X-interacting protein 1, N-terminal"
IPR001537,9,6,"tRNA/rRNA methyltransferase, SpoU type"
IPR029026,15,11,"tRNA (guanine-N1-)-methyltransferase, N-terminal"
IPR029028,15,11,Alpha/beta knot methyltransferases
IPR001057,6,4,Glutamate/acetylglutamate kinase
IPR004662,2,1,Acetylglutamate kinase family
IPR037528,2,1,Acetylglutamate kinase ArgB
IPR041727,2,0,"N-Acetyl-L-glutamate kinase, cyclic"
IPR013924,1,1,"Ribonuclease H2, subunit C"
IPR012919,2,2,SUN domain
IPR045120,1,1,SUN domain-containing Suco/Slp1-like
IPR019587,4,0,Polyketide cyclase/dehydrase
IPR001692,1,1,"Histidinol dehydrogenase, conserved site"
IPR012131,1,1,Histidinol dehydrogenase
IPR003010,7,3,Carbon-nitrogen hydrolase
IPR036526,7,3,Carbon-nitrogen hydrolase superfamily
IPR005979,1,1,Light-dependent protochlorophyllide reductase
IPR000731,1,1,Sterol-sensing domain
IPR003392,1,1,Protein patched/dispatched
IPR004765,1,0,NPC1-like
IPR032190,1,1,"Niemann-Pick C1, N-terminal"
IPR003616,11,6,Post-SET domain
IPR006560,5,1,AWS domain
IPR000738,1,1,WHEP-TRS domain
IPR002314,7,6,"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"
IPR002315,1,1,Glycyl-tRNA synthetase
IPR027031,1,1,Glycyl-tRNA synthetase/DNA polymerase subunit gamma-2
IPR033731,1,1,Glycyl-tRNA synthetase-like core domain
IPR009737,1,1,Thioredoxin-like ferredoxin
IPR030108,1,1,
IPR002730,1,1,Ribonuclease P protein subunit Rpp29/RNP1
IPR016848,1,1,Ribonuclease P/MRP subunit Rpp29
IPR023534,1,1,Rof/RNase P-like
IPR036980,1,1,Ribonuclease P/MRP subunit Rpp29 superfamily
IPR003033,1,1,SCP2 sterol-binding domain
IPR036527,1,1,SCP2 sterol-binding domain superfamily
IPR039543,1,1,Lipid-binding protein POX18/UbiT/NSL-TP1
IPR028786,1,1,
IPR039741,4,4,UDP-sugar pyrophosphorylase
IPR034261,1,1,"CNOT4, RNA recognition motif"
IPR039515,1,0,"NOT4, modified RING finger, HC subclass (C4C4-type)"
IPR039780,1,1,CCR4-NOT transcription complex subunit 4
IPR012595,1,1,PetM of cytochrome b6/f complex subunit 7
IPR008111,1,1,RNA-binding motif protein 8
IPR033744,1,1,"RBM8, RNA recognition motif"
IPR003171,2,1,Methylenetetrahydrofolate reductase-like
IPR002466,2,1,Adenosine deaminase/editase
IPR037359,1,0,Heparan sulfate sulfotransferase
IPR004939,1,1,APC10/DOC domain
IPR016901,1,1,Anaphase-promoting complex subunit APC10/Doc1
IPR008011,8,3,Complex 1 LYR protein domain
IPR015946,8,5,"K homology domain-like, alpha/beta"
IPR016484,2,1,GTP-binding protein EngA
IPR031166,1,1,EngA-type guanine nucleotide-binding (G) domain
IPR032859,2,2,"GTPase Der, C-terminal KH-domain-like"
IPR000659,5,3,Pyridoxamine 5'-phosphate oxidase
IPR024015,1,1,"Pyridoxamine 5'-phosphate oxidase, probable FMN-dependent, Alr4036 family"
IPR024624,4,2,"Pyridoxamine 5'-phosphate oxidase, Alr4036 family, FMN-binding domain"
IPR006786,1,1,Pinin/SDK/MemA protein
IPR039853,1,1,Pinin
IPR007120,3,4,"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"
IPR007121,3,3,"RNA polymerase, beta subunit, conserved site"
IPR007641,3,3,"RNA polymerase Rpb2, domain 7"
IPR007642,3,3,"RNA polymerase Rpb2, domain 2"
IPR007644,3,3,"RNA polymerase, beta subunit, protrusion"
IPR007645,3,3,"RNA polymerase Rpb2, domain 3"
IPR007646,2,2,"RNA polymerase Rpb2, domain 4"
IPR007647,2,2,"RNA polymerase Rpb2, domain 5"
IPR014724,3,4,"RNA polymerase Rpb2, OB-fold"
IPR015712,3,4,"DNA-directed RNA polymerase, subunit 2"
IPR037033,3,4,"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily"
IPR037034,3,3,"RNA polymerase Rpb2, domain 2 superfamily"
IPR024729,3,2,"Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain"
IPR029346,1,1,"Ubiquitin carboxyl-terminal hydrolase, C-terminal"
IPR023614,4,3,Porin domain superfamily
IPR027246,3,2,Eukaryotic porin/Tom40
IPR037930,1,1,Tom40
IPR001606,13,7,ARID DNA-binding domain
IPR022702,3,3,"DNA (cytosine-5)-methyltransferase 1, replication foci domain"
IPR036431,13,8,ARID DNA-binding domain superfamily
IPR024977,7,4,"Anaphase-promoting complex subunit 4, WD40 domain"
IPR033010,4,3,The WD repeat Cdc20/Fizzy family
IPR039245,1,1,Peroxisomal/glyoxysomal leader peptide-processing protease
IPR043504,15,11,"Peptidase S1, PA clan, chymotrypsin-like fold"
IPR001251,14,11,CRAL-TRIO lipid binding domain
IPR011074,5,4,"CRAL/TRIO, N-terminal domain"
IPR036273,7,6,"CRAL/TRIO, N-terminal domain superfamily"
IPR036865,14,12,CRAL-TRIO lipid binding domain superfamily
IPR002755,2,1,"DNA primase, small subunit"
IPR014052,2,1,"DNA primase, small subunit, eukaryotic/archaeal"
IPR000847,1,1,"Transcription regulator HTH, LysR"
IPR005119,1,1,"LysR, substrate-binding"
IPR000421,1,1,Coagulation factor 5/8 C-terminal domain
IPR011705,8,5,BTB/Kelch-associated
IPR022041,1,1,Farnesoic acid O-methyl transferase
IPR002539,4,3,MaoC-like dehydratase domain
IPR006896,6,5,"Sec23/Sec24, trunk domain"
IPR006900,5,4,"Sec23/Sec24, helical domain"
IPR036174,6,4,"Zinc finger, Sec23/Sec24-type superfamily"
IPR036175,5,4,Sec23/Sec24 helical domain superfamily
IPR019308,1,1,Transmembrane protein 214
IPR008564,1,1,Golgi apparatus membrane protein TVP23-like
IPR039190,2,1,Tetratricopeptide repeat protein 14
IPR012223,2,2,"Thioesterase type II, NRPS/PKS/S-FAS"
IPR013956,1,1,E3 ubiquitin ligase Bre1
IPR007378,1,1,Tic22-like
IPR004855,1,1,"Transcription factor IIA, alpha/beta subunit"
IPR009088,3,1,"Transcription factor IIA, beta-barrel"
IPR027817,1,1,Costars domain
IPR038095,1,1,Costars domain superfamily
IPR044302,1,1,Costars family
IPR037753,1,1,
IPR006137,1,1,"NADH:ubiquinone oxidoreductase-like, 20kDa subunit"
IPR006138,1,1,"NADH-ubiquinone oxidoreductase, 20 Kd subunit"
IPR021656,1,1,"RPGR-interacting protein 1, first C2 domain"
IPR031139,1,1,RPGRIP1 family
IPR041091,1,0,"RPGRIP1, C-terminal"
IPR002769,1,1,Translation initiation factor IF6
IPR006674,5,2,HD domain
IPR039356,3,1,5'-deoxynucleotidase YfbR/HDDC2
IPR016964,1,0,Sigma intracellular receptor 2
IPR033118,2,1,EXPERA domain
IPR044235,1,1,RING finger and transmembrane domain-containing protein 1/2
IPR033890,1,1,"GDP-mannose 3,5-epimerase"
IPR044113,1,1,"DDX41, DEAD-box helicase domain"
IPR010301,1,1,Ribosomal RNA processing protein 1
IPR008030,5,4,NmrA-like domain
IPR001030,2,2,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"
IPR006248,1,1,"Aconitase, mitochondrial-like"
IPR015931,2,2,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3"
IPR015932,1,1,"Aconitase, domain 2"
IPR018136,1,1,"Aconitase family, 4Fe-4S cluster binding site"
IPR036008,2,2,"Aconitase, iron-sulfur domain"
IPR006599,8,3,CARP motif
IPR012945,7,3,Tubulin binding cofactor C-like domain
IPR017901,8,4,C-CAP/cofactor C-like domain
IPR039589,2,1,TBCC domain-containing protein 1
IPR007243,1,1,Atg6/Beclin
IPR038274,1,1,Atg6/Beclin C-terminal domain superfamily
IPR040455,1,1,"Atg6, BARA domain"
IPR041691,1,1,"Atg6/beclin, coiled-coil domain"
IPR009288,1,1,"Gamma-glutamylcyclotransferase, AIG2-like domain"
IPR013024,4,3,Gamma-glutamyl cyclotransferase-like
IPR036568,1,2,Gamma-glutamyl cyclotransferase-like superfamily
IPR045038,1,1,Protein AIG2-like
IPR019150,1,1,"Vesicle transport protein, Use1"
IPR025252,2,2,Domain of unknown function DUF4200
IPR026697,1,0,Dynein axonemal assembly factor 6
IPR041442,3,2,"PIH1D1/2/3, CS-like domain"
IPR001222,4,3,"Zinc finger, TFIIS-type"
IPR012164,3,1,DNA-directed RNA polymerase subunit/transcription factor S
IPR034004,1,1,"Pol I subunit A12, C-terminal zinc ribbon"
IPR009976,1,1,Exocyst complex component Sec10-like
IPR033960,1,1,
IPR041698,16,16,Methyltransferase domain 25
IPR030791,1,1,Rotatin
IPR029249,2,0,"Rotatin, N-terminal"
IPR000257,3,3,Uroporphyrinogen decarboxylase (URO-D)
IPR006361,3,3,Uroporphyrinogen decarboxylase HemE
IPR038071,4,4,UROD/MetE-like superfamily
IPR004304,3,4,Acetamidase/Formamidase
IPR025893,1,1,Tocopherol cyclase
IPR005002,1,1,Phosphomannomutase
IPR043169,1,1,"Phosphomannomutase, cap domain"
IPR001891,4,4,Malic oxidoreductase
IPR012301,4,4,"Malic enzyme, N-terminal domain"
IPR012302,4,4,"Malic enzyme, NAD-binding"
IPR037062,4,4,"Malic enzyme, N-terminal domain superfamily"
IPR001433,10,9,Oxidoreductase FAD/NAD(P)-binding
IPR001709,8,5,Flavoprotein pyridine nucleotide cytochrome reductase
IPR003097,8,5,"Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding"
IPR017927,12,11,"FAD-binding domain, ferredoxin reductase-type"
IPR017938,16,13,Riboflavin synthase-like beta-barrel
IPR023173,6,5,"NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain superfamily"
IPR028879,1,0,NADPH-dependent diflavin oxidoreductase 1
IPR039261,15,15,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"
IPR000626,38,19,Ubiquitin-like domain
IPR022617,4,3,Rad60/SUMO-like domain
IPR003256,2,2,Ribosomal protein L24
IPR005824,5,5,KOW
IPR041988,3,3,"Ribosomal protein L26/L24, KOW domain"
IPR001227,2,2,Acyl transferase domain superfamily
IPR004410,1,1,"Malonyl CoA-acyl carrier protein transacylase, FabD-type"
IPR014043,2,2,Acyl transferase
IPR016036,2,2,"Malonyl-CoA ACP transacylase, ACP-binding"
IPR020904,21,21,"Short-chain dehydrogenase/reductase, conserved site"
IPR007216,1,1,CCR4-NOT transcription complex subunit 9
IPR042507,1,1,TBC1 domain family member 19
IPR001233,5,3,"RNA-splicing ligase, RtcB"
IPR027513,3,2,"RNA-splicing ligase RtcB homologue, eukaryotic"
IPR036025,5,3,tRNA-splicing ligase RtcB-like superfamily
IPR001392,3,3,"Clathrin adaptor, mu subunit"
IPR028565,4,4,Mu homology domain
IPR036168,4,4,"AP-2 complex subunit mu, C-terminal superfamily"
IPR002717,2,2,"Histone acetyltransferase domain, MYST-type"
IPR025995,3,2,RNA binding activity-knot of a chromodomain
IPR040706,2,2,"MYST, zinc finger domain"
IPR005016,2,2,Serine incorporator/TMS membrane protein
IPR016635,3,2,"Adaptor protein complex, sigma subunit"
IPR022775,6,5,"AP complex, mu/sigma subunit"
IPR014756,29,27,Immunoglobulin E-set
IPR032640,5,4,"AMP-activated protein kinase, glycogen-binding domain"
IPR003595,5,6,"Protein-tyrosine phosphatase, catalytic"
IPR026070,1,1,
IPR029260,1,1,"Dual specificity/tyrosine protein phosphatase, N-terminal"
IPR044506,1,1,"Dual-specificity phosphatase CDC14, C-terminal"
IPR011063,3,1,"tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal"
IPR012094,2,0,tRNA(Ile)-lysidine synthase
IPR012795,2,0,"tRNA(Ile)-lysidine synthase, N-terminal"
IPR010441,4,3,CH-like domain in sperm protein
IPR027968,2,1,Jhy protein
IPR039175,4,2,Mitochondrial import inner membrane translocase subunit TIM22
IPR004114,1,1,THUMP domain
IPR040183,4,1,THUMP domain-containing protein 1-like
IPR041232,2,2,Nucleoplasmin-like domain
IPR010323,1,1,Protein of unknown function DUF924
IPR025476,2,0,Helitron helicase-like domain
IPR039860,4,1,
IPR007185,4,3,"DNA polymerase alpha/delta/epsilon, subunit B"
IPR013627,1,1,"DNA polymerase alpha, subunit B, N-terminal"
IPR016722,1,1,"DNA polymerase alpha, subunit B"
IPR013518,3,2,"Potassium channel, inwardly rectifying, Kir, cytoplasmic"
IPR016449,3,2,"Potassium channel, inwardly rectifying, Kir"
IPR040445,3,2,"Potassium channel, inwardly rectifying, transmembrane domain"
IPR041647,3,2,"Inward rectifier potassium channel, C-terminal"
IPR033305,1,3,Hydrocephalus-inducing-like
IPR025687,2,3,C4-type zinc-finger of DNA polymerase delta
IPR006461,8,1,PLAC8 motif-containing protein
IPR007196,1,1,"CCR4-Not complex component, Not1, C-terminal"
IPR024557,1,1,"CCR4-NOT transcription complex subunit 1, domain 4"
IPR032191,1,1,"CCR4-NOT transcription complex subunit 1, CAF1-binding domain"
IPR032193,1,1,"CCR4-NOT transcription complex subunit 1, TTP binding domain"
IPR032194,1,1,"CCR4-NOT transcription complex subunit 1, HEAT repeat"
IPR038535,1,1,"CCR4-NOT subunit 1, TTP binding domain superfamily"
IPR040398,1,1,CCR4-NOT transcription complex subunit 1
IPR003742,1,1,RNA methyltransferase RlmH
IPR018240,1,1,"Clathrin adaptor, mu subunit, conserved site"
IPR039732,1,1,Ubiquitin-like modifier Hub1/Ubl5
IPR026504,1,1,Meiosis-specific nuclear structural protein 1
IPR043597,6,6,Trichohyalin-plectin-homology domain
IPR007507,1,0,"3-deoxy-D-manno-octulosonic-acid transferase, N-terminal"
IPR038107,1,0,"3-deoxy-D-manno-octulosonic-acid transferase, N-terminal domain superfamily"
IPR039901,2,1,3-deoxy-D-manno-octulosonic acid transferase
IPR033371,2,3,Arginine and glutamate-rich protein 1
IPR027111,1,1,
IPR000878,6,5,Tetrapyrrole methylase
IPR008189,1,1,rRNA small subunit methyltransferase I
IPR014776,6,4,"Tetrapyrrole methylase, subdomain 2"
IPR014777,6,5,"Tetrapyrrole methylase, subdomain 1"
IPR018063,1,1,"SAM-dependent methyltransferase RsmI, conserved site"
IPR035996,6,5,Tetrapyrrole methylase superfamily
IPR006594,14,12,LIS1 homology motif
IPR006595,10,7,"CTLH, C-terminal LisH motif"
IPR045156,4,2,Vacuolar protein 8
IPR012336,5,3,Thioredoxin-like fold
IPR017439,4,3,Amidohydrolase
IPR044479,2,2,L-galactose dehydrogenase-like
IPR018750,5,1,"Protein of unknown function DUF2306, membrane"
IPR009056,3,3,Cytochrome c-like domain
IPR023655,1,0,Cytochrome c6
IPR036909,3,2,Cytochrome c-like domain superfamily
IPR030960,2,2,3-dehydroquinate synthase domain
IPR035872,1,1,2-epi-5-epi-valiolone synthase-like
IPR004226,1,1,Tubulin binding cofactor A
IPR012671,1,0,"Type III secretion system, secretion protein E"
IPR036126,1,1,Tubulin binding cofactor A superfamily
IPR006809,1,1,TAFII28-like protein domain
IPR045127,1,0,Transcription initiation factor TFIID subunit 11-like
IPR010795,1,1,Prenylcysteine lyase
IPR017046,1,1,Prenylcysteine oxidase
IPR022707,1,1,"Mot1, central domain"
IPR044078,1,0,"Mot1, ATP-binding domain"
IPR044972,1,1,TATA-binding protein-associated factor Mot1
IPR009097,5,2,Cyclic phosphodiesterase
IPR009210,2,1,Activating signal cointegrator 1 complex subunit 1
IPR019510,4,2,"A-kinase anchor protein 7-like, phosphoesterase domain"
IPR006876,4,3,LMBR1-like membrane protein
IPR012674,4,4,Calycin
IPR025585,5,3,Photosystem II Pbs27
IPR038450,5,3,Photosystem II Pbs27 superfamily
IPR011421,2,1,BCNT-C domain
IPR006629,2,1,LPS-induced tumour necrosis factor alpha factor
IPR037519,1,1,LITAF domain containing protein
IPR044098,1,1,"STAMBP/STALP-like, MPN domain"
IPR003961,4,3,Fibronectin type III
IPR036116,4,3,Fibronectin type III superfamily
IPR001564,5,5,Nucleoside diphosphate kinase
IPR023005,5,5,"Nucleoside diphosphate kinase, active site"
IPR034907,5,5,Nucleoside diphosphate kinase-like domain
IPR036850,5,5,Nucleoside diphosphate kinase-like domain superfamily
IPR040091,1,1,Leucine-rich repeat-containing protein 56
IPR031248,3,1,E3 ubiquitin-protein ligase RNF213
IPR013525,19,15,ABC-2 type transporter
IPR003123,3,2,VPS9 domain
IPR037191,3,2,VPS9 domain superfamily
IPR041545,1,1,"RABX5, catalytic core helical domain"
IPR045046,1,1,Vacuolar protein sorting-associated protein 9-like
IPR015267,1,0,Protein phosphatase 4 core regulatory subunit R2
IPR000612,1,0,Proteolipid membrane potential modulator
IPR024882,1,1,Nucleoporin p58/p45/NUP49
IPR009724,1,0,TMEM70 family
IPR006917,7,6,SOUL haem-binding protein
IPR011256,7,6,"Regulatory factor, effector binding domain superfamily"
IPR018790,9,6,Protein of unknown function DUF2358
IPR029214,1,1,Cilia- and flagella-associated protein 144
IPR024512,1,0,Small subunit of serine palmitoyltransferase-like
IPR002041,1,1,Ran GTPase
IPR001308,1,1,Electron transfer flavoprotein alpha subunit/FixB
IPR014730,2,2,"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal"
IPR014731,1,1,"Electron transfer flavoprotein, alpha subunit, C-terminal"
IPR018206,1,1,"Electron transfer flavoprotein subunit alpha, conserved site"
IPR033947,1,1,"Electron transfer flavoprotein, alpha subunit, N-terminal"
IPR001100,6,3,"Pyridine nucleotide-disulphide oxidoreductase, class I"
IPR004099,6,5,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
IPR012999,6,5,"Pyridine nucleotide-disulphide oxidoreductase, class I, active site"
IPR016156,7,6,"FAD/NAD-linked reductase, dimerisation domain superfamily"
IPR023753,23,18,FAD/NAD(P)-binding domain
IPR008532,3,2,"NFACT, RNA-binding domain"
IPR004856,2,1,"Glycosyl transferase, ALG6/ALG8"
IPR039488,1,1,
IPR006175,4,2,YjgF/YER057c/UK114 family
IPR035709,1,0,"RutC family, YoaB-like"
IPR035959,6,3,RutC-like superfamily
IPR009014,6,5,Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II
IPR027110,2,2,Pyruvate dehydrogenase E1 component subunit beta
IPR033248,5,5,"Transketolase, C-terminal domain"
IPR019098,1,1,Histone chaperone domain CHZ
IPR037647,1,1,HIRA-interacting protein 3
IPR028938,2,2,Remodeling and spacing factor 1-like
IPR025452,7,7,Domain of unknown function DUF4218
IPR019181,1,1,"LSM12, anticodon-binding domain"
IPR039683,1,1,Protein Lsm12-like
IPR002483,2,2,PWI domain
IPR034268,1,1,"RBM25, RNA recognition motif"
IPR013255,1,1,"Chromosome segregation protein Spc25, C-terminal"
IPR045143,1,1,Kinetochore protein Spc25
IPR011498,2,1,Kelch repeat type 2
IPR007846,1,1,RNA-recognition motif (RRM) Nup35-type domain
IPR017389,1,1,"Nucleoporin, NUP53"
IPR027027,1,1,GOSR2/Membrin/Bos1
IPR017714,1,1,Methylthioribulose-1-phosphate dehydratase
IPR023943,1,1,Enolase-phosphatase E1
IPR027514,1,1,"Methylthioribulose-1-phosphate dehydratase, eukaryotes"
IPR000648,4,4,Oxysterol-binding protein
IPR018494,2,2,"Oxysterol-binding protein, conserved site"
IPR037239,4,4,Oxysterol-binding protein superfamily
IPR006571,4,6,TLDc domain
IPR008914,1,1,Phosphatidylethanolamine-binding protein
IPR035810,1,1,"Phosphatidylethanolamine-binding protein, eukaryotic"
IPR036610,1,1,PEBP-like superfamily
IPR000572,2,2,"Oxidoreductase, molybdopterin-binding domain"
IPR001834,3,2,NADH:cytochrome b5 reductase-like
IPR005066,2,2,"Moybdenum cofactor oxidoreductase, dimerisation"
IPR008333,3,3,"Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain"
IPR008335,2,2,Eukaryotic molybdopterin oxidoreductase
IPR012137,1,1,Nitrate reductase NADH dependent
IPR018506,4,4,"Cytochrome b5, heme-binding site"
IPR022407,2,2,"Oxidoreductase, molybdopterin binding site"
IPR036374,2,2,"Oxidoreductase, molybdopterin-binding domain superfamily"
IPR001567,4,3,Peptidase M3A/M3B catalytic domain
IPR045090,4,3,Peptidase M3A/M3B
IPR013719,2,2,"Histone chaperone RTT106/FACT complex subunit SPT16-like, middle domain"
IPR013953,1,1,FACT complex subunit Spt16 domain
IPR029148,1,1,"FACT complex subunit Spt16, N-terminal lobe domain"
IPR040258,1,1,FACT complex subunit Spt16
IPR012929,1,1,Nucleoprotein TPR/MLP1
IPR024166,1,1,Ribosomal RNA assembly KRR1
IPR041174,1,1,"Krr1, KH1 domain"
IPR002661,2,2,Ribosome recycling factor
IPR001375,8,9,"Peptidase S9, prolyl oligopeptidase, catalytic domain"
IPR002470,4,3,"Peptidase S9A, prolyl oligopeptidase"
IPR023302,4,3,"Peptidase S9A, N-terminal domain"
IPR004193,6,5,"Glycoside hydrolase, family 13, N-terminal"
IPR006047,9,7,"Glycosyl hydrolase, family 13, catalytic domain"
IPR044505,4,3,"Glycogen debranching enzyme GlgX/isoamylase, N-terminal Early set domain"
IPR016477,1,1,Fructosamine/Ketosamine-3-kinase
IPR029320,1,1,"Acyl-coenzyme A oxidase, N-terminal"
IPR037069,5,5,"Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily"
IPR026893,6,3,Tyrosine/serine-protein phosphatase IphP-type
IPR026928,3,2,FAX/IsoI-like
IPR033468,4,3,"Metaxin, glutathione S-transferase domain"
IPR039776,3,4,Sister chromatid cohesion protein Pds5
IPR002241,2,2,"Glycoside hydrolase, family 27"
IPR041233,2,2,"Alpha galactosidase, C-terminal beta sandwich domain"
IPR011904,3,2,Acetate-CoA ligase
IPR032387,5,2,"Acetyl-coenzyme A synthetase, N-terminal domain"
IPR005952,4,3,Phosphoglycerate mutase 1
IPR011679,1,1,"Endoplasmic reticulum resident protein 29, C-terminal"
IPR036356,1,1,"Endoplasmic reticulum resident protein 29, C-terminal domain superfamily"
IPR001525,5,5,C-5 cytosine methyltransferase
IPR031303,3,3,"DNA methylase, C-5 cytosine-specific, conserved site"
IPR007130,9,7,Diacylglycerol acyltransferase
IPR044565,2,1,Vesicle-trafficking protein Sec22
IPR042481,1,1,Coiled-coil domain-containing protein 57
IPR013112,2,2,FAD-binding 8
IPR013121,3,4,"Ferric reductase, NAD binding domain"
IPR013130,5,2,Ferric reductase transmembrane component-like domain
IPR007568,6,3,RTA-like protein
IPR000277,3,2,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme"
IPR044639,1,1,Cystathionine gamma-synthase 1/2
IPR001945,3,1,RAD3/XPD family
IPR006935,4,3,"Helicase/UvrB, N-terminal"
IPR010643,2,1,Helical and beta-bridge domain
IPR042493,1,0,"Bacterial type XPD DNA helicase, FeS cluster domain"
IPR006500,10,2,"DNA primase, phage/plasmid"
IPR014015,13,4,"Helicase, superfamily 3, DNA virus"
IPR014818,14,3,"Bacteriophage/plasmid primase, P4, C-terminal"
IPR014819,8,2,"Primase, C-terminal 2"
IPR025714,17,8,Methyltransferase domain
IPR026669,6,4,Arsenite methyltransferase-like
IPR002657,7,4,Bile acid:sodium symporter/arsenical resistance protein Acr3
IPR004706,3,1,Arsenical-resistance protein Acr3
IPR014063,8,6,Arsenate resistance ArsH
IPR005025,10,8,NADPH-dependent FMN reductase-like
IPR000305,4,1,GIY-YIG endonuclease
IPR035901,4,2,GIY-YIG endonuclease superfamily
IPR004875,9,0,DDE superfamily endonuclease domain
IPR006600,3,1,HTH CenpB-type DNA-binding domain
IPR013935,3,1,"TRAPP II complex, Trs120"
IPR024420,2,1,"TRAPP III complex, Trs85"
IPR005747,3,2,Endonuclease MutS2
IPR001312,1,1,Hexokinase
IPR022672,1,1,"Hexokinase, N-terminal"
IPR022673,1,1,"Hexokinase, C-terminal"
IPR005607,6,4,BSD domain
IPR035925,6,4,BSD domain superfamily
IPR025742,2,1,"Cleavage stimulation factor subunit 2, hinge domain"
IPR026896,1,1,"Transcription termination and cleavage factor, C-terminal domain"
IPR038192,1,1,"Transcription termination and cleavage factor, C-terminal domain superfamily"
IPR028763,2,2,
IPR005599,4,3,GPI mannosyltransferase
IPR039521,1,1,
IPR003789,1,2,Aspartyl/glutamyl-tRNA amidotransferase subunit B-like
IPR004413,1,1,"Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit"
IPR006075,1,1,"Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic"
IPR014746,4,3,"Glutamine synthetase/guanido kinase, catalytic domain"
IPR017958,1,1,"Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site"
IPR017959,1,2,"Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, subunit B /E"
IPR018027,1,1,Asn/Gln amidotransferase
IPR023168,1,1,"Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 2"
IPR042225,1,1,Negative cofactor 2 complex subunit beta
IPR007702,3,2,Janus
IPR000960,3,2,Flavin monooxygenase FMO
IPR020946,3,2,Flavin monooxygenase-like
IPR003689,7,6,Zinc/iron permease
IPR004698,3,3,"Zinc/iron permease, fungal/plant"
IPR040132,1,1,TREX component Tex1/THOC3
IPR001991,3,2,Sodium:dicarboxylate symporter
IPR036458,3,2,Sodium:dicarboxylate symporter superfamily
IPR034871,7,0,Allene oxide cyclase superfamily
IPR044859,7,0,Allene oxide cyclase/Dirigent protein
IPR012391,1,0,"Serine/threonine protein phosphatase, BSU1"
IPR041758,1,0,"Phosphatase BSL, C-terminal metallophosphatase domain"
IPR006089,3,3,"Acyl-CoA dehydrogenase, conserved site"
IPR013786,4,4,"Acyl-CoA dehydrogenase/oxidase, N-terminal"
IPR045008,1,1,Acyl-coenzyme A oxidase 4-like
IPR039698,1,0,Polyprenol reductase
IPR005100,1,1,NGN domain
IPR006645,1,1,"NusG-like, N-terminal"
IPR017071,1,0,"Transcription elongation factor Spt5, eukaryote"
IPR022581,1,1,"Spt5 transcription elongation factor, N-terminal"
IPR036735,1,1,"NusG, N-terminal domain superfamily"
IPR039385,1,1,"NGN domain, eukaryotic"
IPR039659,1,1,Transcription elongation factor SPT5
IPR041973,1,1,"Spt5, KOW domain repeat 1"
IPR041976,1,1,"Spt5, KOW domain repeat 3"
IPR041978,1,1,"Spt5, KOW domain repeat 5"
IPR004299,6,2,"Membrane bound O-acyl transferase, MBOAT"
IPR014371,3,1,"Sterol O-acyltransferase, ACAT/DAG/ARE types"
IPR027251,3,1,Diacylglycerol O-acyltransferase 1
IPR002589,7,3,Macro domain
IPR043472,10,6,Macro domain-like
IPR001401,15,11,"Dynamin, GTPase domain"
IPR002877,9,5,"Ribosomal RNA methyltransferase, FtsJ domain"
IPR022812,17,12,Dynamin
IPR025807,2,1,Adrift-type ribose 2-O-methyltransferase domain
IPR045063,19,15,"Dynamin, N-terminal"
IPR044066,9,6,TRIAD supradomain
IPR002172,1,1,Low-density lipoprotein (LDL) receptor class A repeat
IPR026874,1,1,
IPR028146,1,0,"Glucosidase II beta subunit, N-terminal"
IPR036607,1,1,Glucosidase 2 subunit beta-like
IPR039794,1,1,Glucosidase II beta subunit-like
IPR019337,1,1,"Telomere length regulation protein, conserved domain"
IPR038528,1,1,"TEL2, C-terminal domain superfamily"
IPR002068,7,6,Alpha crystallin/Hsp20 domain
IPR031107,6,5,Small heat shock protein
IPR019312,1,1,CCR4-NOT transcription complex subunit 11
IPR044591,1,1,Microtubule-associated kinase-like protein RUNKEL
