,T. sp. A48,T. SL0000003,descriptions
PF02727,3,3,"Copper amine oxidase, N2 domain"
PF02728,2,2,"Copper amine oxidase, N3 domain"
PF00043,24,20,"Glutathione S-transferase, C-terminal domain"
PF13175,5,3,AAA ATPase domain
PF01554,15,10,MatE
PF00083,23,16,Sugar (and other) transporter
PF14703,7,4,Cytosolic domain of 10TM putative phosphate transporter
PF05755,2,1,Rubber elongation factor protein (REF)
PF03151,19,15,Triose-phosphate Transporter family
PF00270,88,61,DEAD/DEAH box helicase
PF04408,16,11,Helicase associated domain (HA2)
PF07717,13,9,Oligonucleotide/oligosaccharide-binding (OB)-fold
PF00091,10,9,"Tubulin/FtsZ family, GTPase domain"
PF03953,6,6,Tubulin C-terminal domain
PF00857,3,1,Isochorismatase family
PF08246,4,2,Cathepsin propeptide inhibitor domain (I29)
PF01196,2,2,Ribosomal protein L17
PF00924,9,8,Mechanosensitive ion channel
PF19633,1,1,Protein SET DOMAIN GROUP 2 C-terminal
PF03715,1,1,Noc2p family
PF05739,7,6,SNARE domain
PF01470,1,0,Pyroglutamyl peptidase
PF09329,1,1,Primase zinc finger
PF10544,1,1,T5orf172 domain
PF15628,1,0,RRM in Demeter
PF04937,10,0,Protein of unknown function (DUF 659)
PF01417,2,1,ENTH domain
PF08645,1,1,Polynucleotide kinase 3 phosphatase
PF14716,1,1,Helix-hairpin-helix domain
PF00053,1,0,Laminin EGF domain
PF01741,1,1,"Large-conductance mechanosensitive channel, MscL"
PF07224,2,2,Chlorophyllase
PF12740,5,3,Chlorophyllase enzyme
PF10358,3,3,N-terminal C2 in EEIG1 and EHBP1 proteins
PF03962,1,1,Mnd1 HTH domain
PF18517,2,2,Leucine zipper with capping helix domain
PF09418,1,1,Protein of unknown function (DUF2009)
PF04588,1,1,Hypoxia induced protein conserved region
PF04321,8,7,RmlD substrate binding domain
PF01073,10,10,3-beta hydroxysteroid dehydrogenase/isomerase family
PF13499,35,25,EF-hand domain pair
PF13833,16,13,EF-hand domain pair
PF08534,17,12,Redoxin
PF10417,4,4,C-terminal domain of 1-Cys peroxiredoxin
PF04488,14,6,Glycosyltransferase sugar-binding region containing DXD motif
PF13911,3,3,AhpC/TSA antioxidant enzyme
PF00425,3,3,chorismate binding enzyme
PF04715,2,2,"Anthranilate synthase component I, N terminal region"
PF00646,23,11,F-box domain
PF17830,3,1,STI1 domain
PF08007,6,4,JmjC domain
PF13621,13,8,Cupin-like domain
PF00560,15,6,Leucine Rich Repeat
PF06472,6,5,ABC transporter transmembrane region 2
PF08623,1,1,TATA-binding protein interacting (TIP20)
PF00403,6,4,Heavy-metal-associated domain
PF00171,12,8,Aldehyde dehydrogenase family
PF01398,12,10,JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF14464,3,2,Prokaryotic homologs of the JAB domain
PF04756,1,1,"OST3 / OST6 family, transporter family"
PF09353,7,7,Domain of unknown function (DUF1995)
PF00654,7,5,Voltage gated chloride channel
PF00637,5,2,Region in Clathrin and VPS
PF07691,3,1,PA14 domain
PF00382,3,3,Transcription factor TFIIB repeat
PF07741,1,1,Brf1-like TBP-binding domain
PF00180,4,4,Isocitrate/isopropylmalate dehydrogenase
PF10507,1,1,Transmembrane protein 65
PF02577,2,3,Bifunctional nuclease domain
PF02037,8,6,SAP domain
PF03055,8,8,Retinal pigment epithelial membrane protein
PF04157,2,2,EAP30/Vps36 family
PF11605,1,1,Vacuolar protein sorting protein 36 Vps36
PF00533,11,6,BRCA1 C Terminus (BRCT) domain
PF12738,6,4,twin BRCT domain
PF08417,7,7,Pheophorbide a oxygenase
PF19112,5,4,Vanillate O-demethylase oxygenase C-terminal domain
PF01694,17,12,Rhomboid family
PF01918,2,2,Alba
PF02237,2,0,Biotin protein ligase C terminal domain
PF03099,3,0,Biotin/lipoate A/B protein ligase family
PF07933,3,1,Protein of unknown function (DUF1681)
PF01055,2,2,Glycosyl hydrolases family 31
PF13802,2,2,Galactose mutarotase-like
PF00892,20,16,EamA-like transporter family
PF03775,2,1,"Septum formation inhibitor MinC, C-terminal domain"
PF00258,10,7,Flavodoxin
PF01613,4,2,Flavin reductase like domain
PF11891,7,4,Protein RETICULATA-related
PF09754,2,0,PAC2 family
PF01738,10,7,Dienelactone hydrolase family
PF06814,2,2,Lung seven transmembrane receptor
PF10192,1,1,Rhodopsin-like GPCR transmembrane domain
PF05368,10,9,NmrA-like family
PF01602,7,6,Adaptin N terminal region
PF09066,2,2,"Beta2-adaptin appendage, C-terminal sub-domain"
PF12717,10,8,non-SMC mitotic condensation complex subunit 1
PF05641,5,1,Agenet domain
PF12657,2,0,Transcription factor IIIC subunit delta N-term
PF13959,4,4,Domain of unknown function (DUF4217)
PF00089,12,12,Trypsin
PF01263,4,4,Aldose 1-epimerase
PF11833,4,2,Protein CHAPERONE-LIKE PROTEIN OF POR1-like
PF00378,8,6,Enoyl-CoA hydratase/isomerase
PF16113,8,5,Enoyl-CoA hydratase/isomerase
PF04095,1,1,Nicotinate phosphoribosyltransferase (NAPRTase) family
PF18127,1,1,"Nicotinamide phosphoribosyltransferase, N-terminal domain"
PF07810,1,1,TMC domain
PF12928,1,0,tRNA-splicing endonuclease subunit sen54 N-term
PF00622,8,5,SPRY domain
PF05207,1,0,CSL zinc finger
PF00664,17,16,ABC transporter transmembrane region
PF04858,1,1,TH1 protein
PF08880,1,1,QLQ
PF05605,1,1,"Drought induced 19 protein (Di19), zinc-binding"
PF00719,4,4,Inorganic pyrophosphatase
PF00856,40,24,SET domain
PF02374,3,1,Anion-transporting ATPase
PF13614,2,4,AAA domain
PF00886,2,2,Ribosomal protein S16
PF13532,11,5,2OG-Fe(II) oxygenase superfamily
PF00389,8,7,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF01842,5,5,ACT domain
PF02826,10,9,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
PF19304,1,1,D-3-phosphoglycerate dehydrogenase intervening domain
PF01451,8,6,Low molecular weight phosphotyrosine protein phosphatase
PF03800,1,1,Nuf2 family
PF18595,1,1,"Nuf2, DHR10-like domain"
PF00348,4,4,Polyprenyl synthetase
PF09177,1,1,"Syntaxin 6, N-terminal"
PF00534,25,15,Glycosyl transferases group 1
PF04280,3,2,Tim44-like domain
PF08323,6,6,Starch synthase catalytic domain
PF13692,25,15,Glycosyl transferases group 1
PF08123,2,1,Histone methylation protein DOT1
PF02544,1,1,3-oxo-5-alpha-steroid 4-dehydrogenase
PF08241,69,46,Methyltransferase domain
PF01479,9,8,S4 domain
PF10277,1,1,Frag1/DRAM/Sfk1 family
PF04056,2,1,Ssl1-like
PF07975,2,0,TFIIH C1-like domain
PF14770,1,0,Transmembrane protein 18
PF00085,38,26,Thioredoxin
PF10208,1,1,"ARMET, C-terminal"
PF01472,5,3,PUA domain
PF01728,10,6,FtsJ-like methyltransferase
PF00472,4,3,RF-1 domain
PF03462,3,3,PCRF domain
PF01992,1,1,ATP synthase (C/AC39) subunit
PF13225,3,2,"Beta-carotene isomerase D27-like, C-terminal"
PF01212,2,2,Beta-eliminating lyase
PF13898,1,1,"Deubiquitinating enzyme MINDY-3/4, conserved domain"
PF01433,4,5,Peptidase family M1 domain
PF11838,1,2,ERAP1-like C-terminal domain
PF17900,4,5,Peptidase M1 N-terminal domain
PF01636,6,6,Phosphotransferase enzyme family
PF15669,1,0,Coiled-coil domain-containing protein 24 family
PF00831,2,1,Ribosomal L29 protein
PF02569,1,1,Pantoate-beta-alanine ligase
PF01425,12,6,Amidase
PF01758,8,5,Sodium Bile acid symporter family
PF13593,3,3,SBF-like CPA transporter family (DUF4137)
PF05625,2,1,PAXNEB protein
PF06098,1,1,Radial spoke protein 3
PF00432,4,3,Prenyltransferase and squalene oxidase repeat
PF14687,5,0,Domain of unknown function (DUF4460)
PF00781,9,7,Diacylglycerol kinase catalytic domain
PF19279,4,2,YegS C-terminal NAD kinase beta sandwich-like domain
PF17780,5,2,OCRE domain
PF00551,4,3,Formyl transferase
PF09468,2,0,Ydr279p protein family (RNase H2 complex component) wHTH domain
PF02714,5,3,"Calcium-dependent channel, 7TM region, putative phosphate"
PF13967,4,0,"Late exocytosis, associated with Golgi transport"
PF10191,2,1,Golgi complex component 7 (COG7)
PF10354,1,1,rRNA (uridine-N3-)-methyltransferase BTM5-like
PF00301,1,1,Rubredoxin
PF04427,5,5,Brix domain
PF00656,3,4,Caspase domain
PF01384,9,4,Phosphate transporter family
PF12931,2,1,Sec23-binding domain of Sec16
PF12932,1,0,Vesicle coat trafficking protein Sec16 mid-region
PF04654,1,0,"Protein of unknown function, DUF599"
PF08797,3,1,HIRAN domain
PF09805,1,0,Nucleolar protein 12 (25kDa)
PF03073,8,5,TspO/MBR family
PF08839,2,2,DNA replication factor CDT1 like
PF09369,1,1,MrfA Zn-binding domain
PF00999,17,12,Sodium/hydrogen exchanger family
PF03798,6,4,TLC domain
PF00211,19,13,Adenylate and Guanylate cyclase catalytic domain
PF03031,10,8,NLI interacting factor-like phosphatase
PF00679,10,8,Elongation factor G C-terminus
PF03144,11,9,Elongation factor Tu domain 2
PF03764,4,4,"Elongation factor G, domain IV"
PF14492,5,3,"Elongation Factor G, domain III"
PF01603,1,1,Protein phosphatase 2A regulatory B subunit (B56 family)
PF00587,7,6,"tRNA synthetase class II core domain (G, H, P, S and T)"
PF03129,9,8,Anticodon binding domain
PF13393,3,3,Histidyl-tRNA synthetase
PF02361,1,0,Cobalt transport protein
PF01200,1,0,Ribosomal protein S28e
PF09778,1,1,Guanylylate cyclase
PF13529,1,0,Peptidase_C39 like family
PF02254,4,4,TrkA-N domain
PF02301,2,1,HORMA domain
PF03665,1,0,Uncharacterised protein family (UPF0172)
PF13098,4,3,Thioredoxin-like domain
PF03131,1,1,bZIP Maf transcription factor
PF07716,11,9,Basic region leucine zipper
PF00899,11,8,ThiF family
PF14732,2,1,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
PF00476,3,2,DNA polymerase family A
PF13358,10,0,DDE superfamily endonuclease
PF14929,1,0,TAF RNA Polymerase I subunit A
PF00488,11,8,MutS domain V
PF01624,5,5,MutS domain I
PF05188,4,3,MutS domain II
PF05192,7,6,MutS domain III
PF02469,11,2,Fasciclin domain
PF18758,4,0,Kyakuja-Dileera-Zisupton transposase
PF18804,2,0,CxC3 like cysteine cluster associated with KDZ transposases
PF02902,12,3,"Ulp1 protease family, C-terminal catalytic domain"
PF12294,2,0,Protein of unknown function (DUF3626)
PF03850,1,0,Transcription factor Tfb4
PF01871,1,0,AMMECR1
PF04116,4,2,Fatty acid hydroxylase
PF13251,1,1,Domain of unknown function (DUF4042)
PF00282,6,5,Pyridoxal-dependent decarboxylase conserved domain
PF07651,1,1,ANTH domain
PF08392,2,2,FAE1/Type III polyketide synthase-like protein
PF08541,3,3,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
PF09764,1,0,N-terminal glutamine amidase
PF06071,2,2,Protein of unknown function (DUF933)
PF00676,6,5,Dehydrogenase E1 component
PF01132,4,2,Elongation factor P (EF-P) OB domain
PF08207,3,1,Elongation factor P (EF-P) KOW-like domain
PF09285,4,2,"Elongation factor P, C-terminal"
PF00800,1,1,Prephenate dehydratase
PF07732,1,0,Multicopper oxidase
PF05383,3,3,La domain
PF08777,1,1,RNA binding motif
PF08700,3,3,Vps51/Vps67
PF16200,1,1,C-terminal region of band_7
PF01625,5,5,Peptide methionine sulfoxide reductase
PF08608,1,1,Wyosine base formation
PF00251,4,2,Glycosyl hydrolases family 32 N-terminal domain
PF08244,4,3,Glycosyl hydrolases family 32 C terminal
PF03641,3,2,Possible lysine decarboxylase
PF12937,16,6,F-box-like
PF02296,1,1,"Alpha adaptin AP2, C-terminal domain"
PF02883,3,3,Adaptin C-terminal domain
PF02798,18,11,"Glutathione S-transferase, N-terminal domain"
PF14497,13,13,"Glutathione S-transferase, C-terminal domain"
PF01426,2,1,BAH domain
PF12400,2,1,STIMATE family
PF13874,1,1,Nucleoporin complex subunit 54
PF13086,7,7,AAA domain
PF13087,13,10,AAA domain
PF04130,6,5,Gamma tubulin complex component C-terminal
PF17681,7,4,Gamma tubulin complex component N-terminal
PF04189,1,1,Gcd10p family
PF04059,3,1,RNA recognition motif 2
PF00194,2,2,Eukaryotic-type carbonic anhydrase
PF05770,2,2,"Inositol 1,3,4-trisphosphate 5/6-kinase ATP-grasp domain"
PF17927,2,2,"Inositol 1,3,4-trisphosphate 5/6-kinase pre-ATP-grasp domain"
PF09759,1,1,Spinocerebellar ataxia type 10 protein domain
PF02985,13,12,HEAT repeat
PF13646,9,9,HEAT repeats
PF18808,1,1,Importin repeat
PF18829,1,1,Importin repeat 6
PF00697,1,1,N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF02809,1,1,Ubiquitin interaction motif
PF00136,5,4,DNA polymerase family B
PF03104,4,3,"DNA polymerase family B, exonuclease domain"
PF08996,1,0,DNA Polymerase alpha zinc finger
PF12254,1,0,DNA polymerase alpha subunit p180 N terminal
PF00814,2,1,tRNA N6-adenosine threonylcarbamoyltransferase
PF02990,5,4,Endomembrane protein 70
PF07021,1,0,Methionine biosynthesis protein MetW
PF08242,37,22,Methyltransferase domain
PF13847,46,28,Methyltransferase domain
PF02894,4,2,"Oxidoreductase family, C-terminal alpha/beta domain"
PF01556,10,7,DnaJ C terminal domain
PF06244,1,1,Coiled-coil domain-containing protein 124 /Oxs1
PF00493,14,8,MCM P-loop domain
PF12619,1,1,Mini-chromosome maintenance protein 2
PF14551,6,5,MCM N-terminal domain
PF17207,14,7,MCM OB domain
PF17855,15,9,MCM AAA-lid domain
PF02475,3,2,Met-10+ like-protein
PF02676,1,1,Methyltransferase TYW3
PF13854,13,8,Kelch motif
PF02836,1,1,"Glycosyl hydrolases family 2, TIM barrel domain"
PF02837,1,0,"Glycosyl hydrolases family 2, sugar binding domain"
PF02929,1,1,Beta galactosidase small chain
PF16353,1,1,"Beta-galactosidase, domain 4"
PF08783,1,1,DWNN domain
PF00173,10,9,Cytochrome b5-like Heme/Steroid binding domain
PF00487,11,8,Fatty acid desaturase
PF01769,1,1,Divalent cation transporter
PF08069,1,1,Ribosomal S13/S15 N-terminal domain
PF08555,1,1,FAM32A
PF00206,3,4,Lyase
PF10415,1,1,Fumarase C C-terminus
PF00208,3,3,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF02812,3,3,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain"
PF01245,1,1,Ribosomal protein L19
PF16135,2,2,Tify domain binding domain
PF08312,3,2,cwf21 domain
PF02096,4,4,60Kd inner membrane protein
PF00238,1,2,Ribosomal protein L14p/L23e
PF06480,2,2,FtsH Extracellular
PF00036,8,10,EF hand
PF13405,9,7,EF-hand domain
PF07281,1,0,Insulin-induced protein (INSIG)
PF02816,3,1,Alpha-kinase family
PF03009,3,3,Glycerophosphoryl diester phosphodiesterase family
PF10433,3,3,Mono-functional DNA-alkylating methyl methanesulfonate N-term
PF01172,2,1,Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF09377,2,1,"SBDS protein, domain II"
PF20268,2,0,"SBDS protein, C-terminal domain"
PF14748,3,3,Pyrroline-5-carboxylate reductase dimerisation
PF08149,1,1,BING4CT (NUC141) domain
PF00561,24,20,alpha/beta hydrolase fold
PF06424,1,1,"PRP1 splicing factor, N-terminal"
PF01269,1,1,Fibrillarin
PF00233,19,17,3'5'-cyclic nucleotide phosphodiesterase
PF05529,1,0,Bap31/Bap29 transmembrane region
PF05992,3,2,SbmA/BacA-like family
PF06732,1,1,Pescadillo N-terminus
PF01176,3,2,Translation initiation factor 1A / IF-1
PF16589,3,2,"BRCT domain, a BRCA1 C-terminus domain"
PF03645,3,3,Tctex-1 family
PF13878,1,0,zinc-finger of acetyl-transferase ESCO
PF13880,1,0,ESCO1/2 acetyl-transferase
PF11916,2,1,Vacuolar protein 14 C-terminal Fig4p binding
PF12755,1,1,Vacuolar 14 Fab1-binding region
PF13513,4,4,HEAT-like repeat
PF09976,1,0,Tetratricopeptide repeat-like domain
PF13428,3,3,Tetratricopeptide repeat
PF10036,1,1,"RNA transcription, translation and transport factor protein"
PF02991,1,1,Autophagy protein Atg8 ubiquitin like
PF04110,1,1,Ubiquitin-like autophagy protein Apg12
PF01585,25,12,G-patch domain
PF12457,1,1,Tuftelin interacting protein N terminal
PF12656,3,3,G-patch domain
PF03912,2,0,Psb28 protein
PF00566,18,12,Rab-GTPase-TBC domain
PF00198,5,5,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00364,11,12,Biotin-requiring enzyme
PF04757,5,1,Pex2 / Pex12 amino terminal region
PF02507,1,1,Photosystem I reaction centre subunit III
PF00158,7,4,Sigma-54 interaction domain
PF02861,5,4,"Clp amino terminal domain, pathogenicity island component"
PF07724,11,12,AAA domain (Cdc48 subfamily)
PF10431,7,6,"C-terminal, D2-small domain, of ClpB protein"
PF17871,6,4,AAA lid domain
PF01916,1,1,Deoxyhypusine synthase
PF00448,4,4,"SRP54-type protein, GTPase domain"
PF02881,4,3,"SRP54-type protein, helical bundle domain"
PF06414,3,2,Zeta toxin
PF03883,2,0,Peroxide stress protein YaaA
PF03357,7,7,Snf7
PF12589,1,1,Methyltransferase involved in Williams-Beuren syndrome
PF08784,1,1,Replication protein A C terminal
PF05889,1,1,"O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS"
PF03908,2,1,Sec20
PF07985,1,1,SRR1 domain
PF07189,1,0,Splicing factor 3B subunit 10 (SF3b10)
PF01014,1,1,Uricase
PF00289,5,5,"Biotin carboxylase, N-terminal domain"
PF02222,5,4,ATP-grasp domain
PF02785,5,5,Biotin carboxylase C-terminal domain
PF02786,7,6,"Carbamoyl-phosphate synthase L chain, ATP binding domain"
PF01209,14,7,ubiE/COQ5 methyltransferase family
PF02889,3,3,Sec63 Brl domain
PF08538,1,1,Protein of unknown function (DUF1749)
PF14892,1,1,Domain of unknown function (DUF4490)
PF04140,3,2,Isoprenylcysteine carboxyl methyltransferase (ICMT) family
PF04191,5,3,Phospholipid methyltransferase
PF04751,1,1,Protein of unknown function (DUF615)
PF15016,1,0,Domain of unknown function (DUF4520)
PF15025,1,1,Domain of unknown function (DUF4524)
PF00343,2,2,Carbohydrate phosphorylase
PF13439,7,3,Glycosyltransferase Family 4
PF13524,5,3,Glycosyl transferases group 1
PF13579,7,1,Glycosyl transferase 4-like domain
PF10172,1,1,Det1 complexing ubiquitin ligase
PF00675,8,7,Insulinase (Peptidase family M16)
PF05193,10,9,Peptidase M16 inactive domain
PF08616,1,1,Stabilization of polarity axis
PF00366,3,2,Ribosomal protein S17
PF05250,1,0,Uncharacterised protein family (UPF0193)
PF02383,3,3,SacI homology domain
PF04127,1,1,DNA / pantothenate metabolism flavoprotein
PF09366,2,2,Protein of unknown function (DUF1997)
PF00696,11,8,Amino acid kinase family
PF14778,2,1,Odorant response abnormal 4-like
PF01394,1,1,Clathrin propeller repeat
PF09268,1,1,"Clathrin, heavy-chain linker"
PF13838,1,1,Clathrin-H-link
PF02921,1,1,Ubiquinol cytochrome reductase transmembrane region
PF14667,2,3,Polysaccharide biosynthesis C-terminal domain
PF15227,6,0,"zinc finger of C3HC4-type, RING"
PF16770,1,1,Regulator of Ty1 transposition protein 107 BRCT domain
PF00903,8,6,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF13669,3,2,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF18029,3,2,Glyoxalase-like domain
PF01138,9,8,"3' exoribonuclease family, domain 1"
PF00596,3,3,Class II Aldolase and Adducin N-terminal domain
PF00134,13,9,"Cyclin, N-terminal domain"
PF16899,1,1,Cyclin C-terminal domain
PF04939,1,1,Ribosome biogenesis regulatory protein (RRS1)
PF09239,1,1,"Topoisomerase VI B subunit, transducer"
PF13589,11,6,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF06632,1,0,DNA double-strand break repair and V(D)J recombination protein XRCC4
PF17908,1,1,APAF-1 helical domain
PF12897,1,1,Aspartate amino-transferase
PF08082,1,1,"PRO8NT (NUC069), PrP8 N-terminal domain"
PF08083,1,1,PROCN (NUC071) domain
PF08084,1,1,PROCT (NUC072) domain
PF10596,1,1,U6-snRNA interacting domain of PrP8
PF10597,1,1,U5-snRNA binding site 2 of PrP8
PF10598,1,1,RNA recognition motif of the spliceosomal PrP8
PF12134,1,1,PRP8 domain IV core
PF03091,1,0,CutA1 divalent ion tolerance protein
PF03366,1,1,YEATS family
PF20305,1,1,prokaryotic YEATS domain
PF13344,4,4,Haloacid dehalogenase-like hydrolase
PF02686,1,1,Glu-tRNAGln amidotransferase C subunit
PF01121,1,1,Dephospho-CoA kinase
PF14328,1,1,Domain of unknown function (DUF4385)
PF14608,4,5,"RNA-binding, Nab2-type zinc finger"
PF18044,5,7,CCCH-type zinc finger
PF05577,5,4,Serine carboxypeptidase S28
PF00081,8,5,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF02777,8,5,"Iron/manganese superoxide dismutases, C-terminal domain"
PF05653,5,3,Magnesium transporter NIPA
PF04434,1,1,SWIM zinc finger
PF13191,5,3,AAA ATPase domain
PF14630,1,1,Origin recognition complex (ORC) subunit 5 C-terminus
PF00246,6,5,Zinc carboxypeptidase
PF07896,1,0,Protein of unknown function (DUF1674)
PF12848,6,6,ABC transporter
PF19445,1,1,C-terminal region of eIF3h
PF08367,1,1,Peptidase M16C associated
PF01265,2,1,Cytochrome c/c1 heme lyase
PF09728,1,1,Myosin-like coiled-coil protein
PF09440,1,1,eIF3 subunit 6 N terminal domain
PF00063,3,3,Myosin head (motor domain)
PF08146,1,1,BP28CT (NUC211) domain
PF12397,1,1,U3 small nucleolar RNA-associated protein 10
PF04137,3,1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF14815,3,1,NUDIX domain
PF00633,2,1,Helix-hairpin-helix motif
PF01127,1,1,Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF05328,1,0,"CybS, succinate dehydrogenase cytochrome B small subunit"
PF04083,2,2,Partial alpha/beta-hydrolase lipase region
PF01965,3,3,DJ-1/PfpI family
PF17124,2,1,ThiJ/PfpI family-like
PF07807,1,1,RED-like protein C-terminal region
PF07808,1,1,RED-like protein N-terminal region
PF08372,1,1,Plant phosphoribosyltransferase C-terminal
PF02779,8,5,"Transketolase, pyrimidine binding domain"
PF16870,2,1,2-oxoglutarate dehydrogenase C-terminal
PF15739,2,2,Translin-associated factor X-interacting N-terminus
PF00588,9,5,SpoU rRNA Methylase family
PF07738,2,2,Sad1 / UNC-like C-terminal
PF10604,5,1,Polyketide cyclase / dehydrase and lipid transport
PF00815,1,1,Histidinol dehydrogenase
PF00795,7,3,Carbon-nitrogen hydrolase
PF02460,1,1,Patched family
PF12349,1,1,Sterol-sensing domain of SREBP cleavage-activation
PF16414,1,1,Niemann-Pick C1 N terminus
PF17907,5,1,AWS domain
PF06999,1,1,Sucrase/ferredoxin-like
PF01868,1,1,"Ribonuclease P/MRP, subunit p29"
PF02036,1,1,SCP-2 sterol transfer family
PF14864,1,1,Alkyl sulfatase C-terminal
PF14570,1,0,RING/Ubox like zinc-binding domain
PF08041,1,1,PetM family of cytochrome b6f complex subunit 7
PF13469,3,1,Sulfotransferase family
PF03256,1,1,"Anaphase-promoting complex, subunit 10 (APC10)"
PF02421,11,8,Ferrous iron transport protein B
PF05347,8,3,Complex 1 protein (LYR family)
PF14714,2,2,"KH-domain-like of EngA bacterial GTPase enzymes, C-terminal"
PF12766,5,2,Pyridoxamine 5'-phosphate oxidase
PF04696,1,1,pinin/SDK/memA/ protein conserved region
PF00562,3,3,"RNA polymerase Rpb2, domain 6"
PF04560,3,3,"RNA polymerase Rpb2, domain 7"
PF04561,3,3,"RNA polymerase Rpb2, domain 2"
PF04563,3,3,RNA polymerase beta subunit
PF04565,3,3,"RNA polymerase Rpb2, domain 3"
PF04566,2,2,"RNA polymerase Rpb2, domain 4"
PF00917,3,2,MATH domain
PF12436,3,2,ICP0-binding domain of Ubiquitin-specific protease 7
PF14533,1,1,Ubiquitin-specific protease C-terminal
PF01459,3,2,Eukaryotic porin
PF01388,11,7,ARID/BRIGHT DNA binding domain
PF12047,3,3,Cytosine specific DNA methyltransferase replication foci domain
PF12894,18,9,Anaphase-promoting complex subunit 4 WD40 domain
PF12861,3,2,Anaphase-promoting complex subunit 11 RING-H2 finger
PF00650,12,10,CRAL/TRIO domain
PF03765,3,2,"CRAL/TRIO, N-terminal domain"
PF01896,2,1,DNA primase small subunit
PF00126,1,1,"Bacterial regulatory helix-turn-helix protein, lysR family"
PF03466,1,1,LysR substrate binding domain
PF07707,7,5,BTB And C-terminal Kelch
PF12248,1,1,Farnesoic acid 0-methyl transferase
PF01575,3,2,MaoC like domain
PF04815,5,4,Sec23/Sec24 helical domain
PF05832,1,1,Eukaryotic protein of unknown function (DUF846)
PF04278,1,1,Tic22-like family
PF03153,1,1,"Transcription factor IIA, alpha/beta subunit"
PF14705,1,1,Costars
PF01058,1,1,"NADH ubiquinone oxidoreductase, 20 Kd subunit"
PF11618,1,1,First C2 domain of RPGR-interacting protein 1
PF18111,1,0,Retinitis pigmentosa G-protein regulator interacting C-terminal
PF01912,1,1,eIF-6 family
PF01966,6,2,HD domain
PF12917,2,1,5'-deoxynucleotidase YfbR-like
PF13023,3,1,HD domain
PF05241,2,1,EXPERA (EXPanded EBP superfamily)
PF16363,10,9,"GDP-mannose 4,6 dehydratase"
PF11416,1,1,"Syntaxin-5 N-terminal, Sly1p-binding domain"
PF05997,1,1,"Nucleolar protein,Nop52"
PF00330,2,2,Aconitase family (aconitate hydratase)
PF00694,1,1,Aconitase C-terminal domain
PF07986,7,3,Tubulin binding cofactor C
PF04111,1,1,Apg6 BARA domain
PF17675,1,1,Apg6 coiled-coil region
PF06094,1,1,"Gamma-glutamyl cyclotransferase, AIG2-like"
PF09753,1,0,Membrane fusion protein Use1
PF13863,2,2,Domain of unknown function (DUF4200)
PF18201,3,2,PIH1 CS-like domain
PF01096,4,3,Transcription factor S-II (TFIIS)
PF05175,12,9,Methyltransferase small domain
PF14726,2,0,"Rotatin, an armadillo repeat protein, centriole functioning"
PF01208,3,3,Uroporphyrinogen decarboxylase (URO-D)
PF14249,1,1,Tocopherol cyclase
PF03332,1,1,Eukaryotic phosphomannomutase
PF00390,4,4,"Malic enzyme, N-terminal domain"
PF03949,4,4,"Malic enzyme, NAD binding domain"
PF00175,10,9,Oxidoreductase NAD-binding domain
PF00667,5,4,FAD binding domain
PF11976,12,5,Ubiquitin-2 like Rad60 SUMO-like
PF00467,4,4,KOW motif
PF17136,2,2,Ribosomal proteins 50S L24/mitochondrial 39S L24
PF00698,2,2,Acyl transferase domain
PF04078,1,1,"Cell differentiation family, Rcd1-like"
PF01139,5,3,tRNA-splicing ligase RtcB
PF00928,4,4,Adaptor complexes medium subunit family
PF01853,2,2,MOZ/SAS family
PF11717,3,2,RNA binding activity-knot of a chromodomain
PF17772,2,2,MYST family zinc finger domain
PF03348,2,2,Serine incorporator (Serinc)
PF01217,6,5,Clathrin adaptor complex small chain
PF16561,5,4,Glycogen recognition site of AMP-activated protein kinase
PF14671,1,1,"Dual specificity protein phosphatase, N-terminal half"
PF01171,3,1,PP-loop family
PF06294,4,3,CH-like domain in sperm protein
PF11971,3,3,CAMSAP CH domain
PF15261,2,1,Jhy protein
PF02466,6,3,Tim17/Tim22/Tim23/Pmp24 family
PF02926,1,1,THUMP domain
PF17800,2,2,Nucleoplasmin-like domain
PF06041,1,1,Bacterial protein of unknown function (DUF924)
PF04042,4,3,DNA polymerase alpha/epsilon subunit B
PF08418,1,1,DNA polymerase alpha subunit B N-terminal
PF01007,3,2,Inward rectifier potassium channel transmembrane domain
