GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
SL003_002075	scaffold_3:2674805-2677209	-	246	hypothetical protein													
SL003_002076	scaffold_3:2677546-2688137	+	1010	hypothetical protein											GO:0005515 protein binding; GO:0016192 vesicle-mediated transport; GO:0006886 intracellular protein transport		
SL003_002077	scaffold_3:2689642-2693399	+	429	hypothetical protein													
SL003_002078	scaffold_3:2693492-2695038	-	307	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002079	scaffold_3:2695720-2698820	+	424	hypothetical protein											GO:0004107 chorismate synthase activity; GO:0009073 aromatic amino acid family biosynthetic process		
SL003_002080	scaffold_3:2699457-2701578	-	336	Subunit of heteropentameric Replication factor C (RF-C)											GO:0003677 DNA binding; GO:0016887 ATP hydrolysis activity; GO:0005524 ATP binding; GO:0006260 DNA replication		
SL003_002081	scaffold_3:2701995-2706180	-	721	hypothetical protein											GO:0003677 DNA binding		
SL003_002082	scaffold_3:2707170-2714604	+	972	hypothetical protein													
SL003_002083	scaffold_3:2714865-2723934	+	802	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002084	scaffold_3:2724856-2729399	+	729	hypothetical protein													
SL003_002085	scaffold_3:2729918-2736469	-	1207	hypothetical protein													
SL003_002086	scaffold_3:2737337-2744714	+	887	hypothetical protein													
SL003_002087	scaffold_3:2745681-2748785	-	352	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002088	scaffold_3:2749461-2752867	-	385	hypothetical protein											GO:0016787 hydrolase activity; GO:0009850 auxin metabolic process		
SL003_002089	scaffold_3:2753402-2762444	+	941	hypothetical protein											GO:0005524 ATP binding; GO:0016192 vesicle-mediated transport		
SL003_002090	scaffold_3:2762618-2764760	+	171	hypothetical protein											GO:0005524 ATP binding		
SL003_002091	scaffold_3:2765588-2768235	-	450	hypothetical protein											GO:0004222 metalloendopeptidase activity; GO:0006508 proteolysis		
SL003_002092	scaffold_3:2771231-2771991	-	112	hypothetical protein													
SL003_002093	scaffold_3:2772219-2775700	+	885	hypothetical protein											GO:0005515 protein binding		
SL003_002094	scaffold_3:2779463-2780221	-	227	hypothetical protein											GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
SL003_002095	scaffold_3:2780737-2783990	-	362	Tryptophan--tRNA ligase, chloroplastic/mitochondrial											GO:0000166 nucleotide binding; GO:0004830 tryptophan-tRNA ligase activity; GO:0004812 aminoacyl-tRNA ligase activity; GO:0005524 ATP binding; GO:0006436 tryptophanyl-tRNA aminoacylation; GO:0006418 tRNA aminoacylation for protein translation		
SL003_002096	scaffold_3:2785021-2786557	-	413	hypothetical protein													
SL003_002097	scaffold_3:2786607-2787306	-	232	hypothetical protein													
SL003_002098	scaffold_3:2787633-2789603	+	386	hypothetical protein											GO:0005635 nuclear envelope; GO:0005783 endoplasmic reticulum; GO:0005524 ATP binding		
SL003_002099	scaffold_3:2790358-2794295	+	454	hypothetical protein													
SL003_002100	scaffold_3:2795248-2796869	-	319	hypothetical protein													
SL003_002101	scaffold_3:2799567-2801090	+	233	hypothetical protein													
SL003_002102	scaffold_3:2801267-2803897	-	246	hypothetical protein													
SL003_002103	scaffold_3:2805642-2809185	+	330	hypothetical protein											GO:0003887 DNA-directed DNA polymerase activity; GO:0003896 DNA primase activity; GO:0042276 error-prone translesion synthesis		
SL003_002104	scaffold_3:2809506-2810449	-	254	hypothetical protein													
SL003_002105	scaffold_3:2810880-2812240	-	159	hypothetical protein													
SL003_002106	scaffold_3:2812361-2817978	-	1112	hypothetical protein													
SL003_002107	scaffold_3:2818475-2818899	-	105	hypothetical protein											GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
SL003_002108	scaffold_3:2819220-2824226	+	496	hypothetical protein											GO:0005737 cytoplasm; GO:0005524 ATP binding; GO:0000166 nucleotide binding; GO:0004812 aminoacyl-tRNA ligase activity; GO:0000049 tRNA binding; GO:0004826 phenylalanine-tRNA ligase activity; GO:0043039 tRNA aminoacylation; GO:0006432 phenylalanyl-tRNA aminoacylation		
SL003_002109	scaffold_3:2825507-2826506	-	251	hypothetical protein											GO:0004525 ribonuclease III activity; GO:0006396 RNA processing		
SL003_002110	scaffold_3:2827274-2829257	+	213	hypothetical protein											GO:0003723 RNA binding		
SL003_002111	scaffold_3:2830611-2834628	+	279	hypothetical protein													
SL003_002112	scaffold_3:2839202-2843762	-	520	hypothetical protein											GO:0030170 pyridoxal phosphate binding; GO:0016830 carbon-carbon lyase activity; GO:0016831 carboxy-lyase activity; GO:0003824 catalytic activity; GO:0019752 carboxylic acid metabolic process; GO:0006520 amino acid metabolic process		
SL003_002113	scaffold_3:2844173-2846787	+	309	Chaperonin cpn60, mitochondrial											GO:0016887 ATP hydrolysis activity; GO:0005524 ATP binding		
SL003_002114	scaffold_3:2847842-2851848	+	329	hypothetical protein											GO:0016887 ATP hydrolysis activity; GO:0005524 ATP binding; GO:0006457 protein folding; GO:0042026 protein refolding		
SL003_002115	scaffold_3:2853297-2863138	+	1651	hypothetical protein											GO:0004842 ubiquitin-protein transferase activity; GO:0016567 protein ubiquitination		
SL003_002116	scaffold_3:2869358-2874780	-	870	hypothetical protein											GO:0005515 protein binding		
SL003_002117	scaffold_3:2880115-2885667	+	736	hypothetical protein											GO:0005515 protein binding		
SL003_002118	scaffold_3:2886894-2889186	-	468	hypothetical protein													
SL003_002119	scaffold_3:2895546-2896222	+	149	hypothetical protein											GO:0030008 TRAPP complex; GO:0016192 vesicle-mediated transport		
SL003_002120	scaffold_3:2897415-2898003	-	99	hypothetical protein													
SL003_002121	scaffold_3:2898355-2900930	-	473	hypothetical protein													
SL003_002122	scaffold_3:2902536-2905633	-	78	hypothetical protein													
SL003_002123	scaffold_3:2907922-2913466	-	737	hypothetical protein											GO:0005515 protein binding		
SL003_002124	scaffold_3:2914426-2916884	-	178	hypothetical protein													
SL003_002125	scaffold_3:2920517-2924748	-	540	hypothetical protein													
SL003_002126	scaffold_3:2925469-2928168	+	317	hypothetical protein													
SL003_002127	scaffold_3:2929927-2934106	-	428	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002128	scaffold_3:2934788-2935829	-	209	NifU-like protein 5, mitochondrial											GO:0005506 iron ion binding; GO:0051536 iron-sulfur cluster binding; GO:0016226 iron-sulfur cluster assembly		
SL003_002129	scaffold_3:2936985-2940871	+	363	hypothetical protein											GO:0016757 glycosyltransferase activity		
SL003_002130	scaffold_3:2942146-2943053	-	210	hypothetical protein													
SL003_002131	scaffold_3:2943485-2948529	+	698	hypothetical protein											GO:0004725 protein tyrosine phosphatase activity; GO:0016791 phosphatase activity; GO:0008138 protein tyrosine/serine/threonine phosphatase activity; GO:0016311 dephosphorylation		
SL003_002132	scaffold_3:2951363-2953295	-	212	Ankyrin Repeat													
SL003_002133	scaffold_3:2953573-2965125	+	1052	hypothetical protein											GO:0035082 axoneme assembly		
SL003_002134	scaffold_3:2965532-2966405	+	266	hypothetical protein													
SL003_002135	scaffold_3:2966629-2969594	-	548	hypothetical protein													
SL003_002136	scaffold_3:2969911-2977718	-	1375	hypothetical protein													
SL003_002137	scaffold_3:2989026-2990833	-	203	hypothetical protein													
SL003_002138	scaffold_3:2991332-2992421	+	251	hypothetical protein													
SL003_002139	scaffold_3:2993293-2993701	-	135	hypothetical protein													
SL003_002140	scaffold_3:2995247-2995988	-	246	hypothetical protein													
SL003_002141	scaffold_3:3000564-3001305	-	192	hypothetical protein													
SL003_002142	scaffold_3:3001802-3002917	-	180	hypothetical protein													
SL003_002143	scaffold_3:3003078-3003435	-	90	hypothetical protein													
SL003_002144	scaffold_3:3009711-3017890	+	950	hypothetical protein											GO:0016021 membrane; GO:0016773 phosphotransferase activity, alcohol group as acceptor; GO:0055085 transmembrane transport		
SL003_002145	scaffold_3:3018269-3022115	-	551	hypothetical protein													
SL003_002146	scaffold_3:3025468-3029193	-	391	hypothetical protein													
SL003_002147	scaffold_3:3030920-3032250	-	273	hypothetical protein													
SL003_002148	scaffold_3:3034028-3036381	-	407	hypothetical protein											GO:0016021 membrane; GO:0004190 aspartic-type endopeptidase activity		
SL003_002149	scaffold_3:3037271-3038153	+	263	ribosomal protein S5											GO:0005840 ribosome; GO:0015935 small ribosomal subunit; GO:0003735 structural constituent of ribosome; GO:0003723 RNA binding; GO:0006412 translation		
SL003_002150	scaffold_3:3039316-3039946	-	117	hypothetical protein											GO:0016471 vacuolar proton-transporting V-type ATPase complex; GO:0042626 ATPase-coupled transmembrane transporter activity; GO:1902600 proton transmembrane transport		
SL003_002151	scaffold_3:3041553-3044724	+	366	60S ribosomal protein L3											GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
SL003_002152	scaffold_3:3045252-3046473	-	284	hypothetical protein											GO:0051537 2 iron, 2 sulfur cluster binding		
SL003_002153	scaffold_3:3049323-3052376	-	351	hypothetical protein											GO:0051082 unfolded protein binding; GO:0006457 protein folding		
SL003_002154	scaffold_3:3053726-3056325	-	523	hypothetical protein													
SL003_002155	scaffold_3:3090529-3093371	+	548	hypothetical protein													
SL003_002156	scaffold_3:3100642-3105947	-	409	hypothetical protein											GO:0016021 membrane; GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
SL003_002157	scaffold_3:3111627-3112282	-	134	hypothetical protein											GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
SL003_002158	scaffold_3:3113364-3113733	-	122	hypothetical protein											GO:0046982 protein heterodimerization activity		
SL003_002159	scaffold_3:3114086-3117462	-	339	hypothetical protein													
SL003_002160	scaffold_3:3119100-3125998	-	597	hypothetical protein													
SL003_002161	scaffold_3:3128422-3134129	-	435	hypothetical protein											GO:0016787 hydrolase activity		
SL003_002162	scaffold_3:3135358-3142675	-	749	hypothetical protein											GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
SL003_002163	scaffold_3:3147100-3148976	-	388	hypothetical protein											GO:0005783 endoplasmic reticulum; GO:0005509 calcium ion binding; GO:0036503 ERAD pathway; GO:0032469 endoplasmic reticulum calcium ion homeostasis		
SL003_002164	scaffold_3:3149364-3150998	+	320	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
SL003_002165	scaffold_3:3153303-3154171	-	138	hypothetical protein													
SL003_002166	scaffold_3:3163267-3164814	-	450	hypothetical protein													
SL003_002167	scaffold_3:3165391-3167780	+	322	hypothetical protein											GO:0016020 membrane; GO:0015267 channel activity; GO:0055085 transmembrane transport		
SL003_002168	scaffold_3:3169684-3170920	+	142	40S ribosomal protein S23											GO:0005840 ribosome; GO:0015935 small ribosomal subunit; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
SL003_002169	scaffold_3:3171670-3174877	+	368	hypothetical protein											GO:0016020 membrane; GO:0015267 channel activity; GO:0055085 transmembrane transport		
SL003_002170	scaffold_3:3176497-3178628	-	294	hypothetical protein											GO:0005673 transcription factor TFIIE complex; GO:0006367 transcription initiation at RNA polymerase II promoter		
SL003_002171	scaffold_3:3178889-3180722	+	238	hypothetical protein											GO:0004252 serine-type endopeptidase activity; GO:0004176 ATP-dependent peptidase activity; GO:0006508 proteolysis		
SL003_002172	scaffold_3:3182154-3186138	+	425	hypothetical protein											GO:0005515 protein binding		
SL003_002173	scaffold_3:3189625-3192076	-	286	hypothetical protein											GO:0016020 membrane; GO:0015267 channel activity; GO:0055085 transmembrane transport		
SL003_002174	scaffold_3:3192846-3197636	+	599	hypothetical protein											GO:0016192 vesicle-mediated transport		
SL003_002175	scaffold_3:3199794-3213548	+	1860	hypothetical protein													
SL003_002176	scaffold_3:3214264-3215227	-	169	hypothetical protein													
SL003_002177	scaffold_3:3218979-3226123	-	1085	hypothetical protein													
SL003_002178	scaffold_3:3234110-3236428	-	359	hypothetical protein											GO:0001671 ATPase activator activity; GO:0051087 protein-folding chaperone binding; GO:0051879 Hsp90 protein binding		
SL003_002179	scaffold_3:3237164-3241739	+	334	hypothetical protein													
SL003_002180	scaffold_3:3241948-3257304	+	2091	hypothetical protein													
SL003_002181	scaffold_3:3258552-3262982	+	391	Chaperone protein dnaJ A7A, chloroplastic											GO:0031072 heat shock protein binding; GO:0051082 unfolded protein binding; GO:0005524 ATP binding; GO:0006457 protein folding; GO:0009408 response to heat		
SL003_002182	scaffold_3:3264736-3280797	-	1299	hypothetical protein											GO:0000922 spindle pole; GO:0005815 microtubule organizing center; GO:0016491 oxidoreductase activity; GO:0043015 gamma-tubulin binding; GO:0007020 microtubule nucleation; GO:0000226 microtubule cytoskeleton organization		
SL003_002183	scaffold_3:3283386-3289316	+	521	hypothetical protein											GO:0003824 catalytic activity		
SL003_002184	scaffold_3:3293472-3303751	+	1456	hypothetical protein											GO:0004061 arylformamidase activity; GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975 carbohydrate metabolic process; GO:0019441 tryptophan catabolic process to kynurenine		
SL003_002185	scaffold_3:3304641-3310708	-	630	succinate dehydrogenase flavoprotein subunit											GO:0050660 flavin adenine dinucleotide binding; GO:0016491 oxidoreductase activity; GO:0016627 oxidoreductase activity, acting on the CH-CH group of donors; GO:0022900 electron transport chain; GO:0006099 tricarboxylic acid cycle		
SL003_002186	scaffold_3:3312063-3313260	-	388	hypothetical protein													
SL003_002187	scaffold_3:3314059-3319565	+	605	hypothetical protein											GO:0016702 oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen		
SL003_002188	scaffold_3:3322174-3331204	+	901	hypothetical protein											GO:0006629 lipid metabolic process		
SL003_002189	scaffold_3:3332764-3335771	-	371	hypothetical protein											GO:0004413 homoserine kinase activity; GO:0005524 ATP binding; GO:0006566 threonine metabolic process		
SL003_002190	scaffold_3:3336175-3341172	+	547	Threonine synthase 1, chloroplastic													
SL003_002191	scaffold_3:3341903-3344301	+	351	hypothetical protein											GO:0006629 lipid metabolic process		
SL003_002192	scaffold_3:3345100-3347660	+	208	hypothetical protein													
SL003_002193	scaffold_3:3350448-3354154	-	370	3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial											GO:0003824 catalytic activity; GO:0003864 3-methyl-2-oxobutanoate hydroxymethyltransferase activity; GO:0015940 pantothenate biosynthetic process		
SL003_002194	scaffold_3:3354542-3355618	+	238	hypothetical protein													
SL003_002195	scaffold_3:3358795-3359349	-	155	hypothetical protein											GO:0016021 membrane; GO:0005375 copper ion transmembrane transporter activity; GO:0035434 copper ion transmembrane transport		
SL003_002196	scaffold_3:3364068-3370686	+	1328	hypothetical protein													
SL003_002197	scaffold_3:3373490-3377353	-	627	hypothetical protein											GO:0003677 DNA binding; GO:0003676 nucleic acid binding; GO:0006313 DNA transposition; GO:0015074 DNA integration		
SL003_002198	scaffold_3:3381851-3397095	+	1216	hypothetical protein											GO:0031267 small GTPase binding; GO:0006886 intracellular protein transport		
SL003_002199	scaffold_3:3397919-3399656	-	219	hypothetical protein													
SL003_002200	scaffold_3:3401369-3402405	+	147	hypothetical protein											GO:0008168 methyltransferase activity; GO:0003676 nucleic acid binding; GO:0016279 protein-lysine N-methyltransferase activity; GO:0032259 methylation		
SL003_002201	scaffold_3:3405000-3412770	-	744	hypothetical protein											GO:0140359 ABC-type transporter activity; GO:0005524 ATP binding		
SL003_002202	scaffold_3:3412982-3414900	-	221	hypothetical protein													
SL003_002203	scaffold_3:3419671-3428010	-	917	hypothetical protein													
SL003_002204	scaffold_3:3428713-3439118	+	797	hypothetical protein											GO:0005525 GTP binding; GO:0003924 GTPase activity		
SL003_002205	scaffold_3:3440716-3449310	+	1174	hypothetical protein											GO:0061630 ubiquitin protein ligase activity; GO:0003676 nucleic acid binding; GO:0072344 rescue of stalled ribosome		
SL003_002206	scaffold_3:3450278-3450701	-	102	hypothetical protein													
SL003_002207	scaffold_3:3451653-3458491	+	1038	hypothetical protein													
SL003_002208	scaffold_3:3459153-3460885	-	298	hypothetical protein											GO:0042134 rRNA primary transcript binding; GO:0019843 rRNA binding; GO:0006364 rRNA processing		
SL003_002209	scaffold_3:3461763-3471191	+	1250	hypothetical protein													
SL003_002210	scaffold_3:3471833-3474231	-	603	hypothetical protein													
SL003_002211	scaffold_3:3475207-3478072	-	352	hypothetical protein													
SL003_002213	scaffold_3:3478912-3480185	-	194	hypothetical protein													
SL003_002214	scaffold_3:3481297-3486430	-	1013	hypothetical protein													
SL003_002215	scaffold_3:3489503-3493050	-	454	hypothetical protein													
SL003_002216	scaffold_3:3493747-3496932	+	424	hypothetical protein											GO:0004222 metalloendopeptidase activity; GO:0008233 peptidase activity; GO:0006508 proteolysis; GO:0071586 CAAX-box protein processing		
SL003_002217	scaffold_3:3498198-3505332	+	836	hypothetical protein													
SL003_002218	scaffold_3:3505767-3510640	+	427	hypothetical protein											GO:0004618 phosphoglycerate kinase activity; GO:0006096 glycolytic process		
SL003_002219	scaffold_3:3512139-3518677	+	981	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002220	scaffold_3:3520817-3523991	+	558	hypothetical protein													
SL003_002221	scaffold_3:3525047-3537249	-	878	hypothetical protein											GO:0003922 GMP synthase (glutamine-hydrolyzing) activity; GO:0016491 oxidoreductase activity; GO:0016462 pyrophosphatase activity; GO:0005524 ATP binding; GO:0006177 GMP biosynthetic process; GO:0006164 purine nucleotide biosynthetic process		
SL003_002222	scaffold_3:3538797-3541699	+	214	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002223	scaffold_3:3542495-3544683	+	472	hypothetical protein											GO:0008686 3,4-dihydroxy-2-butanone-4-phosphate synthase activity; GO:0009231 riboflavin biosynthetic process		
SL003_002224	scaffold_3:3545065-3551002	-	565	hypothetical protein											GO:0046872 metal ion binding		
SL003_002225	scaffold_3:3552572-3554084	-	136	hypothetical protein											GO:0009116 nucleoside metabolic process		
SL003_002226	scaffold_3:3555221-3556023	-	134	hypothetical protein													
SL003_002227	scaffold_3:3558837-3573464	-	1266	hypothetical protein											GO:0005515 protein binding		
SL003_002228	scaffold_3:3575091-3589539	+	1827	hypothetical protein											GO:0098599 palmitoyl hydrolase activity; GO:0008474 palmitoyl-(protein) hydrolase activity; GO:0002084 protein depalmitoylation		
SL003_002229	scaffold_3:3590253-3590742	-	162	hypothetical protein													
SL003_002230	scaffold_3:3590823-3599343	-	622	hypothetical protein											GO:0003913 DNA photolyase activity; GO:0006281 DNA repair		
SL003_002231	scaffold_3:3599583-3601646	+	272	hypothetical protein													
SL003_002232	scaffold_3:3604237-3608704	+	471	hypothetical protein											GO:0016020 membrane		
SL003_002233	scaffold_3:3609098-3619915	-	1554	hypothetical protein													
SL003_002234	scaffold_3:3622184-3623033	-	143	AP-2 complex subunit sigma											GO:0030122 AP-2 adaptor complex; GO:0035615 clathrin adaptor activity; GO:0016192 vesicle-mediated transport; GO:0015031 protein transport; GO:0072583 clathrin-dependent endocytosis		
SL003_002235	scaffold_3:3625454-3627507	-	186	hypothetical protein													
SL003_002236	scaffold_3:3634101-3636086	+	542	hypothetical protein											GO:0004190 aspartic-type endopeptidase activity; GO:0006508 proteolysis		
SL003_002237	scaffold_3:3645283-3646667	-	152	hypothetical protein													
SL003_002238	scaffold_3:3646778-3647162	-	127	hypothetical protein													
SL003_002239	scaffold_3:3647788-3648419	+	151	hypothetical protein													
SL003_002240	scaffold_3:3650957-3655660	-	615	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0003677 DNA binding; GO:0006355 regulation of DNA-templated transcription		
SL003_002241	scaffold_3:3661115-3667100	+	554	hypothetical protein													
SL003_002242	scaffold_3:3667652-3673960	+	542	hypothetical protein											GO:0005515 protein binding; GO:0051260 protein homooligomerization		
SL003_002243	scaffold_3:3674899-3676835	-	237	hypothetical protein											GO:0016740 transferase activity; GO:0006364 rRNA processing		
SL003_002244	scaffold_3:3678140-3679401	+	210	hypothetical protein											GO:0019898 extrinsic component of membrane; GO:0009654 photosystem II oxygen evolving complex; GO:0009523 photosystem II; GO:0005509 calcium ion binding; GO:0015979 photosynthesis		
SL003_002245	scaffold_3:3684077-3686803	-	384	Mitogen-activated protein kinase 4											GO:0004707 MAP kinase activity; GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_002246	scaffold_3:3687412-3692760	+	564	hypothetical protein											GO:0030170 pyridoxal phosphate binding; GO:0016830 carbon-carbon lyase activity; GO:0003824 catalytic activity; GO:0019752 carboxylic acid metabolic process		
SL003_002247	scaffold_3:3694482-3706881	+	1054	hypothetical protein											GO:0016021 membrane; GO:0000166 nucleotide binding; GO:0019829 ATPase-coupled monoatomic cation transmembrane transporter activity; GO:0006812 monoatomic cation transport		
SL003_002248	scaffold_3:3713128-3714516	-	130	hypothetical protein													
SL003_002249	scaffold_3:3719031-3728743	+	844	hypothetical protein											GO:0005525 GTP binding; GO:0003924 GTPase activity		
SL003_002250	scaffold_3:3729242-3730359	-	165	hypothetical protein													
SL003_002251	scaffold_3:3730832-3731985	-	203	hypothetical protein													
SL003_002252	scaffold_3:3732795-3733814	+	243	hypothetical protein													
SL003_002253	scaffold_3:3737039-3738500	-	397	hypothetical protein													
SL003_002254	scaffold_3:3739337-3743428	+	940	hypothetical protein													
SL003_002255	scaffold_3:3748596-3751749	-	523	hypothetical protein											GO:0005634 nucleus; GO:0006338 chromatin remodeling; GO:0006355 regulation of DNA-templated transcription; GO:0043486		
SL003_002256	scaffold_3:3752163-3768181	+	2148	hypothetical protein											GO:0005515 protein binding		
SL003_002257	scaffold_3:3768756-3776395	-	1799	hypothetical protein													
SL003_002258	scaffold_3:3778044-3781328	-	327	hypothetical protein											GO:0003824 catalytic activity		
SL003_002259	scaffold_3:3781980-3785380	+	391	hypothetical protein											GO:0016491 oxidoreductase activity		
SL003_002260	scaffold_3:3788684-3789213	-	122	hypothetical protein													
SL003_002261	scaffold_3:3790405-3790920	-	115	hypothetical protein													
SL003_002262	scaffold_3:3791420-3794739	+	312	Mitochondrial succinate-fumarate transporter											GO:0031966 mitochondrial membrane; GO:0006839 mitochondrial transport		
SL003_002263	scaffold_3:3795056-3799352	-	464	hypothetical protein											GO:0008173 RNA methyltransferase activity; GO:0006396 RNA processing		
SL003_002264	scaffold_3:3800384-3805178	+	414	hypothetical protein													
SL003_002265	scaffold_3:3810074-3811951	+	283	hypothetical protein													
SL003_002266	scaffold_3:3814905-3819867	+	826	hypothetical protein													
SL003_002267	scaffold_3:3820191-3823586	-	549	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
SL003_002268	scaffold_3:3825462-3830265	+	472	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
SL003_002269	scaffold_3:3831625-3848348	-	1425	hypothetical protein											GO:0016301 kinase activity; GO:0005515 protein binding		
SL003_002270	scaffold_3:3848877-3858340	-	1393	hypothetical protein											GO:0004674 protein serine/threonine kinase activity		
SL003_002271	scaffold_3:3858558-3862492	+	385	hypothetical protein											GO:0000166 nucleotide binding; GO:0004812 aminoacyl-tRNA ligase activity; GO:0004831 tyrosine-tRNA ligase activity; GO:0005524 ATP binding; GO:0006418 tRNA aminoacylation for protein translation		
SL003_002272	scaffold_3:3865301-3866051	-	153	hypothetical protein													
SL003_002273	scaffold_3:3867292-3870887	+	706	hypothetical protein											GO:0004843 cysteine-type deubiquitinase activity; GO:0016579 protein deubiquitination		
SL003_002274	scaffold_3:3871205-3873417	-	289	hypothetical protein													
SL003_002275	scaffold_3:3875085-3887778	+	1136	hypothetical protein											GO:0009190 cyclic nucleotide biosynthetic process; GO:0035556 intracellular signal transduction		
SL003_002277	scaffold_3:3890230-3891590	+	203	hypothetical protein													
SL003_002278	scaffold_3:3893531-3894423	-	96	hypothetical protein													
SL003_002279	scaffold_3:3895476-3898390	+	487	hypothetical protein													
SL003_002280	scaffold_3:3899006-3903350	+	553	hypothetical protein											GO:0005515 protein binding		
SL003_002281	scaffold_3:3913967-3916201	+	296	hypothetical protein													
SL003_002282	scaffold_3:3917527-3918256	+	165	hypothetical protein													
SL003_002283	scaffold_3:3919590-3919984	+	108	hypothetical protein											GO:0004311 farnesyltranstransferase activity; GO:0016740 transferase activity; GO:0009058 biosynthetic process		
SL003_002284	scaffold_3:3920358-3923448	+	280	hypothetical protein											GO:0004310 farnesyl-diphosphate farnesyltransferase activity; GO:0004311 farnesyltranstransferase activity; GO:0016740 transferase activity; GO:0016765 transferase activity, transferring alkyl or aryl (other than methyl) groups; GO:0009058 biosynthetic process; GO:0008610 lipid biosynthetic process		
SL003_002285	scaffold_3:3927926-3936794	-	952	hypothetical protein											GO:0003871 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; GO:0008270 zinc ion binding; GO:0009086 methionine biosynthetic process; GO:0008652 amino acid biosynthetic process		
SL003_002286	scaffold_3:3937290-3943460	-	797	hypothetical protein											GO:0005813 centrosome; GO:0000922 spindle pole; GO:0005874 microtubule; GO:0032467 positive regulation of cytokinesis		
SL003_002287	scaffold_3:3944016-3947581	+	566	hypothetical protein											GO:0005096 GTPase activator activity		
SL003_002288	scaffold_3:3947894-3950052	+	361	hypothetical protein													
SL003_002289	scaffold_3:3951156-3951719	-	104	hypothetical protein											GO:0016021 membrane		
SL003_002290	scaffold_3:3951904-3952595	-	220	hypothetical protein											GO:0016021 membrane		
SL003_002292	scaffold_3:3954468-3958040	+	402	hypothetical protein											GO:0016788 hydrolase activity, acting on ester bonds		
SL003_002293	scaffold_3:3958691-3960873	-	290	hypothetical protein											GO:0016791 phosphatase activity		
SL003_002294	scaffold_3:3961427-3962976	+	311	NEDD8-activating enzyme E1 catalytic subunit											GO:0019781 NEDD8 activating enzyme activity; GO:0008641 ubiquitin-like modifier activating enzyme activity; GO:0045116 protein neddylation		
SL003_002295	scaffold_3:3963361-3964160	+	121	hypothetical protein											GO:0019781 NEDD8 activating enzyme activity; GO:0045116 protein neddylation		
SL003_002296	scaffold_3:3964926-3972326	-	797	hypothetical protein											GO:0003677 DNA binding; GO:0004518 nuclease activity; GO:0008821 crossover junction DNA endonuclease activity; GO:0000737; GO:0006302 double-strand break repair		
SL003_002297	scaffold_3:3973859-3983084	+	844	hypothetical protein													
SL003_002298	scaffold_3:3985279-3986325	+	180	hypothetical protein													
SL003_002299	scaffold_3:3986875-3990843	-	617	hypothetical protein											GO:0030015 CCR4-NOT core complex; GO:0006355 regulation of DNA-templated transcription		
SL003_002300	scaffold_3:3992120-3993259	+	227	hypothetical protein											GO:0005852 eukaryotic translation initiation factor 3 complex; GO:0005737 cytoplasm; GO:0003743 translation initiation factor activity		
SL003_002301	scaffold_3:3994761-3998468	+	341	hypothetical protein											GO:0004048 anthranilate phosphoribosyltransferase activity; GO:0016757 glycosyltransferase activity; GO:0000162 tryptophan biosynthetic process		
SL003_002302	scaffold_3:4001231-4013182	-	1051	hypothetical protein													
SL003_002303	scaffold_3:4013990-4016634	-	158	hypothetical protein													
SL003_002304	scaffold_3:4020165-4022697	-	419	hypothetical protein											GO:0016491 oxidoreductase activity; GO:0045300 acyl-[acyl-carrier-protein] desaturase activity; GO:0006631 fatty acid metabolic process		
SL003_002305	scaffold_3:4026191-4026611	-	139	hypothetical protein													
SL003_002306	scaffold_3:4028702-4029714	-	141	hypothetical protein													
